Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
SRR5517307_GSM2608539_NMR_NF_0525_PIT_Heterocephalus_glaber_RNA-Seq	3464408.0	2211434.0	160263.0	145202.0
SRR5517308_GSM2608541_NMR_NF_0525_HYP_Heterocephalus_glaber_RNA-Seq	3451436.0	2807727.0	285086.0	174890.0
SRR5517309_GSM2608543_NMR_NF_0525_CER_Heterocephalus_glaber_RNA-Seq	3655266.0	2057272.0	215022.0	169182.0
SRR5517310_GSM2608545_NMR_NM_0713_PIT_Heterocephalus_glaber_RNA-Seq	4841533.0	4475207.0	232106.0	190776.0
SRR5517311_GSM2608547_NMR_NM_0713_HYP_Heterocephalus_glaber_RNA-Seq	4557450.0	3101161.0	238643.0	237807.0
SRR5517312_GSM2608549_NMR_NM_0713_CER_Heterocephalus_glaber_RNA-Seq	3561185.0	1720649.0	192879.0	152122.0
SRR5517313_GSM2608551_NMR_BF_1090_PIT_Heterocephalus_glaber_RNA-Seq	5250602.0	3310952.0	229677.0	197054.0
SRR5517314_GSM2608553_NMR_BF_1090_HYP_Heterocephalus_glaber_RNA-Seq	3241838.0	2198523.0	191988.0	174614.0
SRR5517315_GSM2608554_NMR_BF_1090_CER_Heterocephalus_glaber_RNA-Seq	4409039.0	2397021.0	248828.0	204735.0
SRR5517316_GSM2608556_NMR_BM_1147_PIT_Heterocephalus_glaber_RNA-Seq	3897010.0	2917789.0	211625.0	176358.0
SRR5517317_GSM2608558_NMR_BM_1147_HYP_Heterocephalus_glaber_RNA-Seq	4354438.0	2861283.0	247947.0	225773.0
SRR5517318_GSM2608560_NMR_BM_1147_CER_Heterocephalus_glaber_RNA-Seq	4707148.0	2243325.0	246802.0	200153.0
SRR5517319_GSM2608561_NMR_BM_1215_PIT_Heterocephalus_glaber_RNA-Seq	4622589.0	3477548.0	210729.0	186074.0
SRR5517320_GSM2608564_NMR_BM_1215_HYP_Heterocephalus_glaber_RNA-Seq	3311459.0	2302332.0	171571.0	172883.0
SRR5517321_GSM2608565_NMR_BM_1215_CER_Heterocephalus_glaber_RNA-Seq	3864637.0	2143497.0	198400.0	179848.0
SRR5517322_GSM2608567_NMR_BM_1400_PIT_Heterocephalus_glaber_RNA-Seq	4199575.0	2801255.0	202259.0	175140.0
SRR5517323_GSM2608569_NMR_BM_1400_HYP_Heterocephalus_glaber_RNA-Seq	4041465.0	2419302.0	225006.0	202228.0
SRR5517324_GSM2608570_NMR_BM_1400_CER_Heterocephalus_glaber_RNA-Seq	2934933.0	1591372.0	169194.0	132854.0
SRR5517325_GSM2608572_NMR_NM_1449_PIT_Heterocephalus_glaber_RNA-Seq	4623536.0	2824567.0	205724.0	175997.0
SRR5517326_GSM2608574_NMR_NM_1449_HYP_Heterocephalus_glaber_RNA-Seq	3499561.0	2390276.0	193184.0	183286.0
SRR5517327_GSM2608576_NMR_NM_1449_CER_Heterocephalus_glaber_RNA-Seq	4514143.0	2396604.0	249077.0	201697.0
SRR5517328_GSM2608578_NMR_BF_1816_PIT_Heterocephalus_glaber_RNA-Seq	4309973.0	2697918.0	202338.0	176517.0
SRR5517329_GSM2608579_NMR_BF_1816_CER_Heterocephalus_glaber_RNA-Seq	3546135.0	1912469.0	194423.0	160654.0
SRR5517330_GSM2608581_NMR_NF_2411_PIT_Heterocephalus_glaber_RNA-Seq	4534599.0	2913398.0	203557.0	170953.0
SRR5517331_GSM2608583_NMR_NF_2411_HYP_Heterocephalus_glaber_RNA-Seq	4152900.0	2647705.0	212446.0	208194.0
SRR5517332_GSM2608585_NMR_NF_2411_CER_Heterocephalus_glaber_RNA-Seq	4341604.0	2178895.0	242097.0	196672.0
SRR5517333_GSM2608587_NMR_NF_2969_PIT_Heterocephalus_glaber_RNA-Seq	5410790.0	2552358.0	210685.0	181897.0
SRR5517334_GSM2608589_NMR_NF_2969_HYP_Heterocephalus_glaber_RNA-Seq	3724737.0	2396485.0	205723.0	203013.0
SRR5517335_GSM2608591_NMR_NF_2969_CER_Heterocephalus_glaber_RNA-Seq	3314170.0	1872246.0	176599.0	154332.0
SRR5517336_GSM2608593_NMR_BM_3274_PIT_Heterocephalus_glaber_RNA-Seq	5078240.0	3302147.0	242023.0	206516.0
SRR5517337_GSM2608595_NMR_BM_3274_HYP_Heterocephalus_glaber_RNA-Seq	3828579.0	2449716.0	200305.0	198384.0
SRR5517338_GSM2608596_NMR_NM_3295_PIT_Heterocephalus_glaber_RNA-Seq	3935214.0	2687770.0	202048.0	180695.0
SRR5517339_GSM2608598_NMR_NM_3295_HYP_Heterocephalus_glaber_RNA-Seq	4183762.0	2342758.0	202750.0	194271.0
SRR5517340_GSM2608600_NMR_NM_3295_CER_Heterocephalus_glaber_RNA-Seq	4561587.0	2218057.0	236990.0	198580.0
SRR5517341_GSM2608602_NMR_NF_3439_PIT_Heterocephalus_glaber_RNA-Seq	5860535.0	3819693.0	273625.0	252823.0
SRR5517342_GSM2608604_NMR_NF_3439_HYP_Heterocephalus_glaber_RNA-Seq	3641467.0	2284175.0	201486.0	195412.0
SRR5517343_GSM2608606_NMR_NF_3439_CER_Heterocephalus_glaber_RNA-Seq	4103415.0	2193097.0	231846.0	189549.0
SRR5517344_GSM2608607_NMR_NF_3605_PIT_Heterocephalus_glaber_RNA-Seq	4984274.0	2343305.0	182533.0	163039.0
SRR5517345_GSM2608609_NMR_NF_3605_HYP_Heterocephalus_glaber_RNA-Seq	3833283.0	2489170.0	215634.0	188260.0
SRR5517346_GSM2608611_NMR_NF_3605_CER_Heterocephalus_glaber_RNA-Seq	3775016.0	2179377.0	214179.0	179999.0
SRR5517347_GSM2608613_NMR_NF_4060_PIT_Heterocephalus_glaber_RNA-Seq	3943352.0	2672557.0	190681.0	163282.0
SRR5517348_GSM2608615_NMR_NF_4060_HYP_Heterocephalus_glaber_RNA-Seq	4534848.0	3055235.0	244922.0	228321.0
SRR5517349_GSM2608617_NMR_NF_4060_CER_Heterocephalus_glaber_RNA-Seq	3457260.0	1985803.0	186997.0	164709.0
SRR5517350_GSM2608620_NMR_BF_4121_PIT_Heterocephalus_glaber_RNA-Seq	4680812.0	2973875.0	218087.0	190667.0
SRR5517351_GSM2608622_NMR_BF_4121_HYP_Heterocephalus_glaber_RNA-Seq	3736179.0	2521528.0	196333.0	187904.0
SRR5517352_GSM2608623_NMR_BF_4121_CER_Heterocephalus_glaber_RNA-Seq	4603858.0	2448579.0	259330.0	211179.0
SRR5517353_GSM2608625_NMR_BF_4772_PIT_Heterocephalus_glaber_RNA-Seq	4810796.0	3104124.0	218996.0	184690.0
SRR5517354_GSM2608627_NMR_BF_4772_CER_Heterocephalus_glaber_RNA-Seq	3870359.0	2308874.0	214284.0	184170.0
SRR5517355_GSM2608628_NMR_NM_4925_PIT_Heterocephalus_glaber_RNA-Seq	5621756.0	3871368.0	256891.0	244725.0
SRR5517356_GSM2608630_NMR_NM_4925_HYP_Heterocephalus_glaber_RNA-Seq	2966607.0	1926200.0	157280.0	145599.0
SRR5517357_GSM2608631_NMR_NM_4925_CER_Heterocephalus_glaber_RNA-Seq	3485572.0	1906000.0	183544.0	160784.0
SRR5517358_GSM2608633_NMR_BM_5982_PIT_Heterocephalus_glaber_RNA-Seq	4135677.0	2631861.0	199924.0	157679.0
SRR5517359_GSM2608635_NMR_BM_5982_HYP_Heterocephalus_glaber_RNA-Seq	5067950.0	3406637.0	262240.0	259524.0
SRR5517360_GSM2608637_NMR_BM_5982_CER_Heterocephalus_glaber_RNA-Seq	4072369.0	2633437.0	210554.0	192305.0
SRR5517361_GSM2608638_NMR_NM_6074_PIT_Heterocephalus_glaber_RNA-Seq	4056984.0	2868064.0	206207.0	169011.0
SRR5517362_GSM2608640_NMR_NM_6074_HYP_Heterocephalus_glaber_RNA-Seq	4222527.0	2949729.0	221276.0	215326.0
SRR5517363_GSM2608642_NMR_NM_6074_CER_Heterocephalus_glaber_RNA-Seq	3868983.0	2430500.0	219856.0	186624.0
SRR5517364_GSM2608644_NMR_NM_6206_PIT_Heterocephalus_glaber_RNA-Seq	3834657.0	2728648.0	185567.0	165795.0
SRR5517365_GSM2608645_NMR_NM_6206_HYP_Heterocephalus_glaber_RNA-Seq	3934525.0	2534498.0	215574.0	202489.0
SRR5517366_GSM2608647_NMR_NM_6206_CER_Heterocephalus_glaber_RNA-Seq	4517009.0	2390007.0	249582.0	207360.0
SRR5517367_GSM2608649_NMR_BF_6382_PIT_Heterocephalus_glaber_RNA-Seq	3681711.0	2622682.0	165170.0	145039.0
SRR5517368_GSM2608651_NMR_BF_6382_CER_Heterocephalus_glaber_RNA-Seq	4701716.0	2446944.0	256916.0	212476.0
SRR5517369_GSM2608653_NMR_BM_6656_PIT_Heterocephalus_glaber_RNA-Seq	4826146.0	3211848.0	231757.0	189399.0
SRR5517370_GSM2608655_NMR_BM_6656_HYP_Heterocephalus_glaber_RNA-Seq	4251146.0	2923185.0	241317.0	213154.0
SRR5517371_GSM2608657_NMR_BM_6656_CER_Heterocephalus_glaber_RNA-Seq	5521453.0	2735380.0	280488.0	244184.0
SRR5517372_GSM2608659_NMR_BF_6841_CER_Heterocephalus_glaber_RNA-Seq	4974802.0	2687515.0	263697.0	220139.0
SRR5517373_GSM2608661_NMR_NF_0525_SKN_Heterocephalus_glaber_RNA-Seq	4052329.0	5918701.0	204027.0	200426.0
SRR5517374_GSM2608663_NMR_NM_0713_SKN_Heterocephalus_glaber_RNA-Seq	3853419.0	5636800.0	224600.0	184196.0
SRR5517375_GSM2608665_NMR_BF_1090_SKN_Heterocephalus_glaber_RNA-Seq	3537958.0	5126125.0	224377.0	161392.0
SRR5517376_GSM2608667_NMR_BM_1147_SKN_Heterocephalus_glaber_RNA-Seq	3852312.0	5392497.0	243425.0	181820.0
SRR5517377_GSM2608669_NMR_BM_1215_SKN_Heterocephalus_glaber_RNA-Seq	4007908.0	6192706.0	238078.0	187539.0
SRR5517378_GSM2608671_NMR_BM_1400_SKN_Heterocephalus_glaber_RNA-Seq	2515059.0	2633811.0	187516.0	115129.0
SRR5517379_GSM2608672_NMR_NM_1449_SKN_Heterocephalus_glaber_RNA-Seq	4303683.0	5596529.0	223248.0	214376.0
SRR5517380_GSM2608674_NMR_BF_1816_SKN_Heterocephalus_glaber_RNA-Seq	3147614.0	4206837.0	219277.0	144049.0
SRR5517381_GSM2608676_NMR_NF_2411_SKN_Heterocephalus_glaber_RNA-Seq	4487433.0	7019842.0	363383.0	210148.0
SRR5517382_GSM2608678_NMR_NF_2969_SKN_Heterocephalus_glaber_RNA-Seq	5778983.0	8030643.0	279730.0	287077.0
SRR5517383_GSM2608680_NMR_BM_3274_SKN_Heterocephalus_glaber_RNA-Seq	3798718.0	5337621.0	267164.0	187773.0
SRR5517384_GSM2608681_NMR_NM_3295_SKN_Heterocephalus_glaber_RNA-Seq	4463807.0	4259642.0	346496.0	208127.0
SRR5517385_GSM2608683_NMR_NF_3605_SKN_Heterocephalus_glaber_RNA-Seq	4484613.0	6127290.0	270189.0	200829.0
SRR5517386_GSM2608685_NMR_NF_4060_SKN_Heterocephalus_glaber_RNA-Seq	4084444.0	5991374.0	241187.0	201102.0
SRR5517387_GSM2608687_NMR_BF_4121_SKN_Heterocephalus_glaber_RNA-Seq	3975435.0	6685523.0	267393.0	188666.0
SRR5517388_GSM2608689_NMR_BF_4772_SKN_Heterocephalus_glaber_RNA-Seq	5303221.0	6352331.0	257722.0	262372.0
SRR5517389_GSM2608691_NMR_NM_4925_SKN_Heterocephalus_glaber_RNA-Seq	3985495.0	5997546.0	308435.0	187381.0
SRR5517390_GSM2608693_NMR_BM_5982_SKN_Heterocephalus_glaber_RNA-Seq	4963448.0	6593713.0	273002.0	238333.0
