Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR5517205_GSM2608347_NMR_NM_1449_KID_Heterocephalus_glaber_RNA-Seq	6941457	3410129	0	0	0	0	0	0	0	3179475	0	0	184064	0	167789	49.12699163878707
SRR5517206_GSM2608349_NMR_BF_1816_ADR_Heterocephalus_glaber_RNA-Seq	11722576	5265807	0	0	0	0	0	0	0	6003124	0	0	242655	0	210990	44.92022060680178
SRR5517207_GSM2608351_NMR_BF_1816_KID_Heterocephalus_glaber_RNA-Seq	6343092	2837470	0	0	0	0	0	0	0	3153680	0	0	207567	0	144375	44.73323104883234
SRR5517208_GSM2608353_NMR_BF_1816_THY_Heterocephalus_glaber_RNA-Seq	7297809	3707416	0	0	0	0	0	0	0	3235800	0	0	183240	0	171353	50.80176803750276
SRR5517209_GSM2608354_NMR_NF_2411_ADR_Heterocephalus_glaber_RNA-Seq	8908659	4259275	0	0	0	0	0	0	0	4251486	0	0	225107	0	172791	47.81050660935613
SRR5517210_GSM2608356_NMR_NF_2411_KID_Heterocephalus_glaber_RNA-Seq	8355170	4217460	0	0	0	0	0	0	0	3712394	0	0	206293	0	219023	50.47724941563128
SRR5517211_GSM2608358_NMR_NF_2969_ADR_Heterocephalus_glaber_RNA-Seq	10436959	4556916	0	0	0	0	0	0	0	5376945	0	0	318590	0	184508	43.6613385182408
SRR5517212_GSM2608360_NMR_NF_2969_KID_Heterocephalus_glaber_RNA-Seq	9068610	4619379	0	0	0	0	0	0	0	3996911	0	0	223889	0	228431	50.93811510253501
SRR5517213_GSM2608362_NMR_BM_3274_ADR_Heterocephalus_glaber_RNA-Seq	8796185	4098415	0	0	0	0	0	0	0	4288789	0	0	234317	0	174664	46.593096893710175
SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq	7782182	4128978	0	0	0	0	0	0	0	3267440	0	0	191076	0	194688	53.05681619885014
SRR5517215_GSM2608365_NMR_NM_3295_ADR_Heterocephalus_glaber_RNA-Seq	10099929	4726543	0	0	0	0	0	0	0	4899490	0	0	275003	0	198893	46.797784420068695
SRR5517216_GSM2608368_NMR_NM_3295_KID_Heterocephalus_glaber_RNA-Seq	7639316	3915666	0	0	0	0	0	0	0	3341584	0	0	203098	0	178968	51.25676173102409
SRR5517217_GSM2608370_NMR_NF_3439_ADR_Heterocephalus_glaber_RNA-Seq	10008119	4515096	0	0	0	0	0	0	0	5074944	0	0	233683	0	184396	45.11433167411379
SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	8062115	4032631	0	0	0	0	0	0	0	3627469	0	0	207596	0	194419	50.01951721105442
SRR5517219_GSM2608373_NMR_NF_3605_ADR_Heterocephalus_glaber_RNA-Seq	8610060	4023398	0	0	0	0	0	0	0	4244961	0	0	189997	0	151704	46.729035570019256
SRR5517220_GSM2608374_NMR_NF_3605_KID_Heterocephalus_glaber_RNA-Seq	9152504	4586598	0	0	0	0	0	0	0	4105294	0	0	239110	0	221502	50.113040103560735
SRR5517221_GSM2608376_NMR_NF_4060_ADR_Heterocephalus_glaber_RNA-Seq	9637525	4302793	0	0	0	0	0	0	0	4938247	0	0	221047	0	175438	44.64624475682294
SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	7643596	3963701	0	0	0	0	0	0	0	3305831	0	0	185231	0	188833	51.85649529357648
SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	8733993	3905991	0	0	0	0	0	0	0	4457228	0	0	211844	0	158930	44.72170976093066
SRR5517224_GSM2608381_NMR_BF_4121_KID_Heterocephalus_glaber_RNA-Seq	9118361	4579774	0	0	0	0	0	0	0	4094393	0	0	215172	0	229022	50.2258465090382
SRR5517225_GSM2608383_NMR_BF_4772_ADR_Heterocephalus_glaber_RNA-Seq	19157814	5142758	0	0	0	0	0	0	0	12357752	0	0	1420476	0	236828	26.844179612559138
SRR5517226_GSM2608385_NMR_BF_4772_KID_Heterocephalus_glaber_RNA-Seq	6401031	2971641	0	0	0	0	0	0	0	3061860	0	0	216925	0	150605	46.42441194238865
SRR5517227_GSM2608387_NMR_NM_4925_KID_Heterocephalus_glaber_RNA-Seq	7353660	3775450	0	0	0	0	0	0	0	3222083	0	0	176339	0	179788	51.34110089397661
SRR5517228_GSM2608389_NMR_BM_5982_ADR_Heterocephalus_glaber_RNA-Seq	12470002	4471847	0	0	0	0	0	0	0	7120351	0	0	684418	0	193386	35.86083626931254
SRR5517229_GSM2608390_NMR_BM_5982_KID_Heterocephalus_glaber_RNA-Seq	7761380	3996435	0	0	0	0	0	0	0	3380248	0	0	190627	0	194070	51.491294073992
SRR5517230_GSM2608392_NMR_NM_6074_ADR_Heterocephalus_glaber_RNA-Seq	8420417	3821321	0	0	0	0	0	0	0	4249587	0	0	194987	0	154522	45.38161233582612
SRR5517231_GSM2608394_NMR_NM_6074_KID_Heterocephalus_glaber_RNA-Seq	8674073	4210538	0	0	0	0	0	0	0	4041316	0	0	212584	0	209635	48.5416481968736
SRR5517232_GSM2608396_NMR_NM_6206_ADR_Heterocephalus_glaber_RNA-Seq	10072661	4797641	0	0	0	0	0	0	0	4779291	0	0	298201	0	197528	47.6303233078131
SRR5517233_GSM2608398_NMR_NM_6206_KID_Heterocephalus_glaber_RNA-Seq	7664590	3919707	0	0	0	0	0	0	0	3362599	0	0	190509	0	191775	51.14046543911677
SRR5517234_GSM2608400_NMR_BF_6382_ADR_Heterocephalus_glaber_RNA-Seq	11397783	5003860	0	0	0	0	0	0	0	5918846	0	0	268483	0	206594	43.90204656466964
SRR5517235_GSM2608402_NMR_BF_6382_KID_Heterocephalus_glaber_RNA-Seq	6387659	3178268	0	0	0	0	0	0	0	2905542	0	0	154619	0	149230	49.756381798089095
SRR5517236_GSM2608404_NMR_BM_6656_ADR_Heterocephalus_glaber_RNA-Seq	9217882	4346520	0	0	0	0	0	0	0	4404404	0	0	277892	0	189066	47.153131272455
SRR5517237_GSM2608405_NMR_BM_6656_KID_Heterocephalus_glaber_RNA-Seq	8440052	4235500	0	0	0	0	0	0	0	3772573	0	0	229105	0	202874	50.18334010264391
SRR5517238_GSM2608407_NMR_BF_6841_ADR_Heterocephalus_glaber_RNA-Seq	13018053	5924113	0	0	0	0	0	0	0	6564848	0	0	291818	0	237274	45.50690491120293
SRR5517239_GSM2608409_NMR_BF_6841_KID_Heterocephalus_glaber_RNA-Seq	8996366	4288059	0	0	0	0	0	0	0	4252035	0	0	253902	0	202370	47.664345803627825
SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq	13290181	5369488	0	0	0	0	0	0	0	7415341	0	0	280976	0	224376	40.40191777674059
SRR5517241_GSM2608412_NMR_NF_0525_THY_Heterocephalus_glaber_RNA-Seq	7573771	3781178	0	0	0	0	0	0	0	3394557	0	0	215201	0	182835	49.92464123882277
SRR5517242_GSM2608414_NMR_NM_0713_TES_Heterocephalus_glaber_RNA-Seq	6376741	3238621	0	0	0	0	0	0	0	2820220	0	0	186037	0	131863	50.78802792837281
SRR5517243_GSM2608416_NMR_NM_0713_THY_Heterocephalus_glaber_RNA-Seq	8900420	4233602	0	0	0	0	0	0	0	4231372	0	0	235552	0	199894	47.56631709514832
SRR5517244_GSM2608418_NMR_BF_1090_OVR_Heterocephalus_glaber_RNA-Seq	8716994	3509248	0	0	0	0	0	0	0	4842718	0	0	206771	0	158257	40.25754749859872
SRR5517245_GSM2608420_NMR_BF_1090_THY_Heterocephalus_glaber_RNA-Seq	8754981	4424560	0	0	0	0	0	0	0	3935557	0	0	184693	0	210171	50.53763109251751
SRR5517246_GSM2608422_NMR_BM_1147_TES_Heterocephalus_glaber_RNA-Seq	10056221	4996228	0	0	0	0	0	0	0	4631383	0	0	235082	0	193528	49.682957444948755
SRR5517247_GSM2608423_NMR_BM_1147_THY_Heterocephalus_glaber_RNA-Seq	8363591	3915074	0	0	0	0	0	0	0	3972360	0	0	258768	0	217389	46.81092128967091
SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq	9776752	4433025	0	0	0	0	0	0	0	4936752	0	0	229258	0	177717	45.342512523586564
SRR5517249_GSM2608427_NMR_BM_1215_THY_Heterocephalus_glaber_RNA-Seq	6247700	2925231	0	0	0	0	0	0	0	2913129	0	0	266491	0	142849	46.820926100805096
SRR5517250_GSM2608429_NMR_BM_1400_TES_Heterocephalus_glaber_RNA-Seq	9437361	4606379	0	0	0	0	0	0	0	4423961	0	0	221860	0	185161	48.81003280472157
SRR5517251_GSM2608431_NMR_BM_1400_THY_Heterocephalus_glaber_RNA-Seq	7089134	3109569	0	0	0	0	0	0	0	3565289	0	0	256840	0	157436	43.86387674432448
SRR5517252_GSM2608433_NMR_NM_1449_TES_Heterocephalus_glaber_RNA-Seq	11487483	5884590	0	0	0	0	0	0	0	5131648	0	0	240648	0	230597	51.22610409956646
SRR5517253_GSM2608435_NMR_NM_1449_THY_Heterocephalus_glaber_RNA-Seq	6533380	2991249	0	0	0	0	0	0	0	3181738	0	0	212407	0	147986	45.78409644012747
SRR5517254_GSM2608437_NMR_BF_1816_HRT_Heterocephalus_glaber_RNA-Seq	6822313	3555275	0	0	0	0	0	0	0	2967624	0	0	140911	0	158503	52.11245804758592
SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq	13355610	5645858	0	0	0	0	0	0	0	7200109	0	0	275535	0	234108	42.2733068725427
SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq	10145815	4142934	0	0	0	0	0	0	0	5601896	0	0	224913	0	176072	40.833920192709996
SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq	7426849	3632751	0	0	0	0	0	0	0	3454998	0	0	175012	0	164088	48.913758715169784
SRR5517258_GSM2608444_NMR_NF_2969_OVR_Heterocephalus_glaber_RNA-Seq	8547017	3553904	0	0	0	0	0	0	0	4599098	0	0	238252	0	155763	41.580635676751314
SRR5517259_GSM2608446_NMR_NF_2969_THY_Heterocephalus_glaber_RNA-Seq	7918332	3760375	0	0	0	0	0	0	0	3770263	0	0	211069	0	176625	47.48948389635595
SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq	7846626	3630535	0	0	0	0	0	0	0	3850725	0	0	216297	0	149069	46.2687402203189
SRR5517261_GSM2608452_NMR_BM_3274_THY_Heterocephalus_glaber_RNA-Seq	9102717	4601124	0	0	0	0	0	0	0	4050877	0	0	234152	0	216564	50.54671039427019
SRR5517262_GSM2608454_NMR_NM_3295_TES_Heterocephalus_glaber_RNA-Seq	8868874	4207375	0	0	0	0	0	0	0	4293065	0	0	202030	0	166404	47.43978773404606
SRR5517263_GSM2608456_NMR_NF_3439_OVR_Heterocephalus_glaber_RNA-Seq	11161829	4749217	0	0	0	0	0	0	0	5976829	0	0	241490	0	194293	42.54873462046408
SRR5517264_GSM2608457_NMR_NF_3439_THY_Heterocephalus_glaber_RNA-Seq	7002262	3415820	0	0	0	0	0	0	0	3223232	0	0	194776	0	168434	48.78166512478396
SRR5517265_GSM2608459_NMR_NF_3605_OVR_Heterocephalus_glaber_RNA-Seq	9407673	3901286	0	0	0	0	0	0	0	5138285	0	0	203305	0	164797	41.46919222213612
SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq	11990259	4769744	0	0	0	0	0	0	0	6742043	0	0	266514	0	211958	39.78015821009371
SRR5517267_GSM2608463_NMR_NF_4060_THY_Heterocephalus_glaber_RNA-Seq	8041963	4227609	0	0	0	0	0	0	0	3430483	0	0	190210	0	193661	52.56936645940799
SRR5517268_GSM2608465_NMR_BF_4121_OVR_Heterocephalus_glaber_RNA-Seq	12169537	4757519	0	0	0	0	0	0	0	6908550	0	0	290841	0	212627	39.09367299676232
SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq	8525832	4251247	0	0	0	0	0	0	0	3883936	0	0	188669	0	201980	49.863133592123326
SRR5517270_GSM2608469_NMR_BF_4772_OVR_Heterocephalus_glaber_RNA-Seq	9643164	3863123	0	0	0	0	0	0	0	5381473	0	0	225278	0	173290	40.060741474478704
SRR5517271_GSM2608471_NMR_BF_4772_THY_Heterocephalus_glaber_RNA-Seq	7218499	3475058	0	0	0	0	0	0	0	3401492	0	0	170093	0	171856	48.141005491584885
SRR5517272_GSM2608473_NMR_NM_4925_TES_Heterocephalus_glaber_RNA-Seq	11009780	5583762	0	0	0	0	0	0	0	4959858	0	0	252272	0	213888	50.71638125375802
SRR5517273_GSM2608475_NMR_NM_4925_THY_Heterocephalus_glaber_RNA-Seq	7460441	3556638	0	0	0	0	0	0	0	3518436	0	0	210970	0	174397	47.6732943803188
SRR5517274_GSM2608477_NMR_BM_5982_TES_Heterocephalus_glaber_RNA-Seq	12616244	6149896	0	0	0	0	0	0	0	5941985	0	0	278269	0	246094	48.745854947003245
SRR5517275_GSM2608479_NMR_BM_5982_THY_Heterocephalus_glaber_RNA-Seq	6119732	3138035	0	0	0	0	0	0	0	2688026	0	0	146256	0	147415	51.277327177072465
SRR5517276_GSM2608481_NMR_NM_6074_TES_Heterocephalus_glaber_RNA-Seq	9647277	4835436	0	0	0	0	0	0	0	4414644	0	0	209291	0	187906	50.122288392880186
SRR5517277_GSM2608483_NMR_NM_6074_THY_Heterocephalus_glaber_RNA-Seq	8684768	4342945	0	0	0	0	0	0	0	3907721	0	0	231736	0	202366	50.00645958533377
SRR5517278_GSM2608485_NMR_NM_6206_TES_Heterocephalus_glaber_RNA-Seq	8279885	4335960	0	0	0	0	0	0	0	3595616	0	0	182106	0	166203	52.367393991583214
SRR5517279_GSM2608487_NMR_NM_6206_THY_Heterocephalus_glaber_RNA-Seq	7774960	3800622	0	0	0	0	0	0	0	3596289	0	0	199911	0	178138	48.882849558068465
SRR5517280_GSM2608489_NMR_BF_6382_OVR_Heterocephalus_glaber_RNA-Seq	12312975	5051595	0	0	0	0	0	0	0	6779445	0	0	269913	0	212022	41.02659998903596
SRR5517281_GSM2608491_NMR_BF_6382_THY_Heterocephalus_glaber_RNA-Seq	9597862	5112580	0	0	0	0	0	0	0	4060075	0	0	194787	0	230420	53.267904872981084
SRR5517282_GSM2608493_NMR_BM_6656_TES_Heterocephalus_glaber_RNA-Seq	10630611	4968907	0	0	0	0	0	0	0	5213934	0	0	252101	0	195669	46.74149961841328
SRR5517283_GSM2608495_NMR_BM_6656_THY_Heterocephalus_glaber_RNA-Seq	7311576	3555126	0	0	0	0	0	0	0	3378132	0	0	204846	0	173472	48.62325167651954
SRR5517284_GSM2608497_NMR_BF_6841_OVR_Heterocephalus_glaber_RNA-Seq	12897640	5095685	0	0	0	0	0	0	0	7272812	0	0	310451	0	218692	39.50866204980136
SRR5517285_GSM2608499_NMR_BF_6841_THY_Heterocephalus_glaber_RNA-Seq	7912635	4207052	0	0	0	0	0	0	0	3356057	0	0	154267	0	195259	53.16878637773637
SRR5517286_GSM2608500_NMR_NF_0525_HRT_Heterocephalus_glaber_RNA-Seq	5290131	2619953	0	0	0	0	0	0	0	2383864	0	0	179157	0	107157	49.52529530932221
SRR5517287_GSM2608502_NMR_NM_0713_HRT_Heterocephalus_glaber_RNA-Seq	6268216	3367534	0	0	0	0	0	0	0	2616042	0	0	132812	0	151828	53.72396228847251
SRR5517288_GSM2608504_NMR_BF_1090_HRT_Heterocephalus_glaber_RNA-Seq	7467789	4014435	0	0	0	0	0	0	0	3118076	0	0	162533	0	172745	53.75667416420041
SRR5517289_GSM2608506_NMR_BM_1147_HRT_Heterocephalus_glaber_RNA-Seq	8067320	4301480	0	0	0	0	0	0	0	3410000	0	0	169018	0	186822	53.31981376714944
SRR5517290_GSM2608508_NMR_BM_1400_HRT_Heterocephalus_glaber_RNA-Seq	8329523	4447372	0	0	0	0	0	0	0	3514991	0	0	170875	0	196285	53.39287735924374
SRR5517291_GSM2608510_NMR_NM_1449_HRT_Heterocephalus_glaber_RNA-Seq	5921326	3167246	0	0	0	0	0	0	0	2492758	0	0	120007	0	141315	53.48879625948647
SRR5517292_GSM2608512_NMR_NF_2411_HRT_Heterocephalus_glaber_RNA-Seq	6777432	3260657	0	0	0	0	0	0	0	3130562	0	0	241718	0	144495	48.11050852299219
SRR5517293_GSM2608514_NMR_NF_2969_HRT_Heterocephalus_glaber_RNA-Seq	5752711	3058139	0	0	0	0	0	0	0	2432965	0	0	128412	0	133195	53.15996232037382
SRR5517294_GSM2608516_NMR_BM_3274_HRT_Heterocephalus_glaber_RNA-Seq	8349918	4562979	0	0	0	0	0	0	0	3412991	0	0	173557	0	200391	54.64699174291292
SRR5517295_GSM2608518_NMR_NM_3295_HRT_Heterocephalus_glaber_RNA-Seq	5846886	3179877	0	0	0	0	0	0	0	2398550	0	0	129239	0	139220	54.385821786161046
SRR5517296_GSM2608519_NMR_NF_3439_HRT_Heterocephalus_glaber_RNA-Seq	8961840	4775918	0	0	0	0	0	0	0	3778072	0	0	195256	0	212594	53.29171241620024
SRR5517297_GSM2608521_NMR_NF_3605_HRT_Heterocephalus_glaber_RNA-Seq	7678486	4100121	0	0	0	0	0	0	0	3217724	0	0	162405	0	198236	53.39751872960372
SRR5517298_GSM2608523_NMR_NF_4060_HRT_Heterocephalus_glaber_RNA-Seq	7064862	3773963	0	0	0	0	0	0	0	2960248	0	0	164008	0	166643	53.418778739061004
SRR5517299_GSM2608525_NMR_BF_4121_HRT_Heterocephalus_glaber_RNA-Seq	7096132	3849244	0	0	0	0	0	0	0	2923356	0	0	159162	0	164370	54.24425588475524
SRR5517300_GSM2608526_NMR_BF_4772_HRT_Heterocephalus_glaber_RNA-Seq	7435973	3899390	0	0	0	0	0	0	0	3197866	0	0	170805	0	167912	52.43953951957599
SRR5517301_GSM2608528_NMR_NM_4925_HRT_Heterocephalus_glaber_RNA-Seq	7975346	4321902	0	0	0	0	0	0	0	3296052	0	0	166990	0	190402	54.190777428339786
SRR5517302_GSM2608530_NMR_BM_5982_HRT_Heterocephalus_glaber_RNA-Seq	9067486	4840787	0	0	0	0	0	0	0	3815158	0	0	197341	0	214200	53.38620870216949
SRR5517303_GSM2608532_NMR_NM_6074_HRT_Heterocephalus_glaber_RNA-Seq	7727116	4047806	0	0	0	0	0	0	0	3315789	0	0	181591	0	181930	52.38443424428985
SRR5517304_GSM2608534_NMR_NM_6206_HRT_Heterocephalus_glaber_RNA-Seq	8455663	4562842	0	0	0	0	0	0	0	3508304	0	0	176575	0	207942	53.96196608119316
SRR5517305_GSM2608536_NMR_BF_6382_HRT_Heterocephalus_glaber_RNA-Seq	7114725	3697267	0	0	0	0	0	0	0	3100327	0	0	145365	0	171766	51.9664076967135
SRR5517306_GSM2608537_NMR_BM_6656_HRT_Heterocephalus_glaber_RNA-Seq	7541248	4145116	0	0	0	0	0	0	0	3055749	0	0	154145	0	186238	54.96591545590333
SRR5517307_GSM2608539_NMR_NF_0525_PIT_Heterocephalus_glaber_RNA-Seq	5981307	3464408	0	0	0	0	0	0	0	2211434	0	0	160263	0	145202	57.92058491563801
SRR5517308_GSM2608541_NMR_NF_0525_HYP_Heterocephalus_glaber_RNA-Seq	6719139	3451436	0	0	0	0	0	0	0	2807727	0	0	285086	0	174890	51.367236189041485
SRR5517309_GSM2608543_NMR_NF_0525_CER_Heterocephalus_glaber_RNA-Seq	6096742	3655266	0	0	0	0	0	0	0	2057272	0	0	215022	0	169182	59.954414997387126
SRR5517310_GSM2608545_NMR_NM_0713_PIT_Heterocephalus_glaber_RNA-Seq	9739622	4841533	0	0	0	0	0	0	0	4475207	0	0	232106	0	190776	49.70966019009773
SRR5517311_GSM2608547_NMR_NM_0713_HYP_Heterocephalus_glaber_RNA-Seq	8135061	4557450	0	0	0	0	0	0	0	3101161	0	0	238643	0	237807	56.0223211602224
SRR5517312_GSM2608549_NMR_NM_0713_CER_Heterocephalus_glaber_RNA-Seq	5626835	3561185	0	0	0	0	0	0	0	1720649	0	0	192879	0	152122	63.2893091764731
SRR5517313_GSM2608551_NMR_BF_1090_PIT_Heterocephalus_glaber_RNA-Seq	8988285	5250602	0	0	0	0	0	0	0	3310952	0	0	229677	0	197054	58.41606046092219
SRR5517314_GSM2608553_NMR_BF_1090_HYP_Heterocephalus_glaber_RNA-Seq	5806963	3241838	0	0	0	0	0	0	0	2198523	0	0	191988	0	174614	55.826737659599345
SRR5517315_GSM2608554_NMR_BF_1090_CER_Heterocephalus_glaber_RNA-Seq	7259623	4409039	0	0	0	0	0	0	0	2397021	0	0	248828	0	204735	60.73371854158267
SRR5517316_GSM2608556_NMR_BM_1147_PIT_Heterocephalus_glaber_RNA-Seq	7202782	3897010	0	0	0	0	0	0	0	2917789	0	0	211625	0	176358	54.10423361417852
SRR5517317_GSM2608558_NMR_BM_1147_HYP_Heterocephalus_glaber_RNA-Seq	7689441	4354438	0	0	0	0	0	0	0	2861283	0	0	247947	0	225773	56.62879785409629
SRR5517318_GSM2608560_NMR_BM_1147_CER_Heterocephalus_glaber_RNA-Seq	7397428	4707148	0	0	0	0	0	0	0	2243325	0	0	246802	0	200153	63.632224605633205
SRR5517319_GSM2608561_NMR_BM_1215_PIT_Heterocephalus_glaber_RNA-Seq	8496940	4622589	0	0	0	0	0	0	0	3477548	0	0	210729	0	186074	54.40298507462686
SRR5517320_GSM2608564_NMR_BM_1215_HYP_Heterocephalus_glaber_RNA-Seq	5958245	3311459	0	0	0	0	0	0	0	2302332	0	0	171571	0	172883	55.5777582157162
SRR5517321_GSM2608565_NMR_BM_1215_CER_Heterocephalus_glaber_RNA-Seq	6386382	3864637	0	0	0	0	0	0	0	2143497	0	0	198400	0	179848	60.5137149641221
SRR5517322_GSM2608567_NMR_BM_1400_PIT_Heterocephalus_glaber_RNA-Seq	7378229	4199575	0	0	0	0	0	0	0	2801255	0	0	202259	0	175140	56.91846918820222
SRR5517323_GSM2608569_NMR_BM_1400_HYP_Heterocephalus_glaber_RNA-Seq	6888001	4041465	0	0	0	0	0	0	0	2419302	0	0	225006	0	202228	58.673989739548524
SRR5517324_GSM2608570_NMR_BM_1400_CER_Heterocephalus_glaber_RNA-Seq	4828353	2934933	0	0	0	0	0	0	0	1591372	0	0	169194	0	132854	60.78538582411021
SRR5517325_GSM2608572_NMR_NM_1449_PIT_Heterocephalus_glaber_RNA-Seq	7829824	4623536	0	0	0	0	0	0	0	2824567	0	0	205724	0	175997	59.050318372418076
SRR5517326_GSM2608574_NMR_NM_1449_HYP_Heterocephalus_glaber_RNA-Seq	6266307	3499561	0	0	0	0	0	0	0	2390276	0	0	193184	0	183286	55.84726378710778
SRR5517327_GSM2608576_NMR_NM_1449_CER_Heterocephalus_glaber_RNA-Seq	7361521	4514143	0	0	0	0	0	0	0	2396604	0	0	249077	0	201697	61.320792265620106
SRR5517328_GSM2608578_NMR_BF_1816_PIT_Heterocephalus_glaber_RNA-Seq	7386746	4309973	0	0	0	0	0	0	0	2697918	0	0	202338	0	176517	58.34738327268868
SRR5517329_GSM2608579_NMR_BF_1816_CER_Heterocephalus_glaber_RNA-Seq	5813681	3546135	0	0	0	0	0	0	0	1912469	0	0	194423	0	160654	60.99638077837432
SRR5517330_GSM2608581_NMR_NF_2411_PIT_Heterocephalus_glaber_RNA-Seq	7822507	4534599	0	0	0	0	0	0	0	2913398	0	0	203557	0	170953	57.968615432367145
SRR5517331_GSM2608583_NMR_NF_2411_HYP_Heterocephalus_glaber_RNA-Seq	7221245	4152900	0	0	0	0	0	0	0	2647705	0	0	212446	0	208194	57.50947378187556
SRR5517332_GSM2608585_NMR_NF_2411_CER_Heterocephalus_glaber_RNA-Seq	6959268	4341604	0	0	0	0	0	0	0	2178895	0	0	242097	0	196672	62.385929094841586
SRR5517333_GSM2608587_NMR_NF_2969_PIT_Heterocephalus_glaber_RNA-Seq	8355730	5410790	0	0	0	0	0	0	0	2552358	0	0	210685	0	181897	64.75544327066575
SRR5517334_GSM2608589_NMR_NF_2969_HYP_Heterocephalus_glaber_RNA-Seq	6529958	3724737	0	0	0	0	0	0	0	2396485	0	0	205723	0	203013	57.040749726108494
SRR5517335_GSM2608591_NMR_NF_2969_CER_Heterocephalus_glaber_RNA-Seq	5517347	3314170	0	0	0	0	0	0	0	1872246	0	0	176599	0	154332	60.068181319753855
SRR5517336_GSM2608593_NMR_BM_3274_PIT_Heterocephalus_glaber_RNA-Seq	8828926	5078240	0	0	0	0	0	0	0	3302147	0	0	242023	0	206516	57.51820776388884
