Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
SRR5517217_GSM2608370_NMR_NF_3439_ADR_Heterocephalus_glaber_RNA-Seq	18.41	4933175.0
SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	15.63	4434646.0
SRR5517219_GSM2608373_NMR_NF_3605_ADR_Heterocephalus_glaber_RNA-Seq	18.76	4365099.0
SRR5517220_GSM2608374_NMR_NF_3605_KID_Heterocephalus_glaber_RNA-Seq	16.15	5047210.0
SRR5517221_GSM2608376_NMR_NF_4060_ADR_Heterocephalus_glaber_RNA-Seq	18.32	4699278.0
SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	16.93	4337765.0
SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	17.64	4276765.0
SRR5517224_GSM2608381_NMR_BF_4121_KID_Heterocephalus_glaber_RNA-Seq	16.0	5023968.0
SRR5517225_GSM2608383_NMR_BF_4772_ADR_Heterocephalus_glaber_RNA-Seq	24.29	6800062.0
SRR5517226_GSM2608385_NMR_BF_4772_KID_Heterocephalus_glaber_RNA-Seq	14.99	3339171.0
SRR5517227_GSM2608387_NMR_NM_4925_KID_Heterocephalus_glaber_RNA-Seq	16.49	4131577.0
SRR5517228_GSM2608389_NMR_BM_5982_ADR_Heterocephalus_glaber_RNA-Seq	20.42	5349651.0
SRR5517229_GSM2608390_NMR_BM_5982_KID_Heterocephalus_glaber_RNA-Seq	16.86	4381132.0
SRR5517230_GSM2608392_NMR_NM_6074_ADR_Heterocephalus_glaber_RNA-Seq	18.07	4170830.0
SRR5517231_GSM2608394_NMR_NM_6074_KID_Heterocephalus_glaber_RNA-Seq	15.82	4632757.0
SRR5517232_GSM2608396_NMR_NM_6206_ADR_Heterocephalus_glaber_RNA-Seq	16.51	5293370.0
SRR5517233_GSM2608398_NMR_NM_6206_KID_Heterocephalus_glaber_RNA-Seq	16.18	4301991.0
SRR5517234_GSM2608400_NMR_BF_6382_ADR_Heterocephalus_glaber_RNA-Seq	18.44	5478937.0
SRR5517235_GSM2608402_NMR_BF_6382_KID_Heterocephalus_glaber_RNA-Seq	16.44	3482117.0
SRR5517236_GSM2608404_NMR_BM_6656_ADR_Heterocephalus_glaber_RNA-Seq	15.91	4813478.0
SRR5517237_GSM2608405_NMR_BM_6656_KID_Heterocephalus_glaber_RNA-Seq	15.35	4667479.0
SRR5517238_GSM2608407_NMR_BF_6841_ADR_Heterocephalus_glaber_RNA-Seq	18.65	6453205.0
SRR5517239_GSM2608409_NMR_BF_6841_KID_Heterocephalus_glaber_RNA-Seq	16.62	4744331.0
SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq	19.7	5874840.0
SRR5517241_GSM2608412_NMR_NF_0525_THY_Heterocephalus_glaber_RNA-Seq	15.5	4179214.0
SRR5517242_GSM2608414_NMR_NM_0713_TES_Heterocephalus_glaber_RNA-Seq	17.42	3556521.0
SRR5517243_GSM2608416_NMR_NM_0713_THY_Heterocephalus_glaber_RNA-Seq	16.9	4669048.0
SRR5517244_GSM2608418_NMR_BF_1090_OVR_Heterocephalus_glaber_RNA-Seq	18.27	3874276.0
SRR5517245_GSM2608420_NMR_BF_1090_THY_Heterocephalus_glaber_RNA-Seq	17.14	4819424.0
SRR5517246_GSM2608422_NMR_BM_1147_TES_Heterocephalus_glaber_RNA-Seq	18.99	5424838.0
SRR5517247_GSM2608423_NMR_BM_1147_THY_Heterocephalus_glaber_RNA-Seq	16.96	4391231.0
SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq	18.35	4840000.0
SRR5517249_GSM2608427_NMR_BM_1215_THY_Heterocephalus_glaber_RNA-Seq	14.11	3334571.0
SRR5517250_GSM2608429_NMR_BM_1400_TES_Heterocephalus_glaber_RNA-Seq	18.57	5013400.0
SRR5517251_GSM2608431_NMR_BM_1400_THY_Heterocephalus_glaber_RNA-Seq	13.9	3523845.0
SRR5517252_GSM2608433_NMR_NM_1449_TES_Heterocephalus_glaber_RNA-Seq	20.16	6355835.0
SRR5517253_GSM2608435_NMR_NM_1449_THY_Heterocephalus_glaber_RNA-Seq	14.1	3351642.0
SRR5517254_GSM2608437_NMR_BF_1816_HRT_Heterocephalus_glaber_RNA-Seq	15.64	3854689.0
SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq	19.64	6155501.0
SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq	19.13	4543919.0
SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq	17.11	3971851.0
SRR5517258_GSM2608444_NMR_NF_2969_OVR_Heterocephalus_glaber_RNA-Seq	16.6	3947919.0
SRR5517259_GSM2608446_NMR_NF_2969_THY_Heterocephalus_glaber_RNA-Seq	15.81	4148069.0
SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq	16.52	3995901.0
SRR5517261_GSM2608452_NMR_BM_3274_THY_Heterocephalus_glaber_RNA-Seq	16.09	5051840.0
SRR5517262_GSM2608454_NMR_NM_3295_TES_Heterocephalus_glaber_RNA-Seq	19.15	4575809.0
SRR5517263_GSM2608456_NMR_NF_3439_OVR_Heterocephalus_glaber_RNA-Seq	19.66	5185000.0
SRR5517264_GSM2608457_NMR_NF_3439_THY_Heterocephalus_glaber_RNA-Seq	14.7	3779030.0
SRR5517265_GSM2608459_NMR_NF_3605_OVR_Heterocephalus_glaber_RNA-Seq	19.22	4269388.0
SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq	19.14	5248216.0
SRR5517267_GSM2608463_NMR_NF_4060_THY_Heterocephalus_glaber_RNA-Seq	16.38	4611480.0
SRR5517268_GSM2608465_NMR_BF_4121_OVR_Heterocephalus_glaber_RNA-Seq	19.19	5260987.0
SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq	17.05	4641896.0
SRR5517270_GSM2608469_NMR_BF_4772_OVR_Heterocephalus_glaber_RNA-Seq	18.31	4261691.0
SRR5517271_GSM2608471_NMR_BF_4772_THY_Heterocephalus_glaber_RNA-Seq	16.63	3817007.0
SRR5517272_GSM2608473_NMR_NM_4925_TES_Heterocephalus_glaber_RNA-Seq	19.22	6049922.0
SRR5517273_GSM2608475_NMR_NM_4925_THY_Heterocephalus_glaber_RNA-Seq	15.15	3942005.0
SRR5517274_GSM2608477_NMR_BM_5982_TES_Heterocephalus_glaber_RNA-Seq	19.3	6674259.0
SRR5517275_GSM2608479_NMR_BM_5982_THY_Heterocephalus_glaber_RNA-Seq	16.6	3431706.0
SRR5517276_GSM2608481_NMR_NM_6074_TES_Heterocephalus_glaber_RNA-Seq	19.66	5232633.0
SRR5517277_GSM2608483_NMR_NM_6074_THY_Heterocephalus_glaber_RNA-Seq	16.2	4777047.0
SRR5517278_GSM2608485_NMR_NM_6206_TES_Heterocephalus_glaber_RNA-Seq	19.98	4684269.0
SRR5517279_GSM2608487_NMR_NM_6206_THY_Heterocephalus_glaber_RNA-Seq	15.47	4178671.0
SRR5517280_GSM2608489_NMR_BF_6382_OVR_Heterocephalus_glaber_RNA-Seq	19.2	5533530.0
SRR5517281_GSM2608491_NMR_BF_6382_THY_Heterocephalus_glaber_RNA-Seq	18.16	5537787.0
SRR5517282_GSM2608493_NMR_BM_6656_TES_Heterocephalus_glaber_RNA-Seq	18.09	5416677.0
SRR5517283_GSM2608495_NMR_BM_6656_THY_Heterocephalus_glaber_RNA-Seq	15.21	3933444.0
SRR5517284_GSM2608497_NMR_BF_6841_OVR_Heterocephalus_glaber_RNA-Seq	18.52	5624828.0
SRR5517285_GSM2608499_NMR_BF_6841_THY_Heterocephalus_glaber_RNA-Seq	17.85	4556578.0
SRR5517286_GSM2608500_NMR_NF_0525_HRT_Heterocephalus_glaber_RNA-Seq	10.27	2906267.0
SRR5517287_GSM2608502_NMR_NM_0713_HRT_Heterocephalus_glaber_RNA-Seq	15.76	3652174.0
SRR5517288_GSM2608504_NMR_BF_1090_HRT_Heterocephalus_glaber_RNA-Seq	15.37	4349713.0
SRR5517289_GSM2608506_NMR_BM_1147_HRT_Heterocephalus_glaber_RNA-Seq	16.06	4657320.0
SRR5517290_GSM2608508_NMR_BM_1400_HRT_Heterocephalus_glaber_RNA-Seq	16.02	4814532.0
SRR5517291_GSM2608510_NMR_NM_1449_HRT_Heterocephalus_glaber_RNA-Seq	15.14	3428568.0
SRR5517292_GSM2608512_NMR_NF_2411_HRT_Heterocephalus_glaber_RNA-Seq	13.91	3646870.0
SRR5517293_GSM2608514_NMR_NF_2969_HRT_Heterocephalus_glaber_RNA-Seq	14.2	3319746.0
SRR5517294_GSM2608516_NMR_BM_3274_HRT_Heterocephalus_glaber_RNA-Seq	15.51	4936927.0
SRR5517295_GSM2608518_NMR_NM_3295_HRT_Heterocephalus_glaber_RNA-Seq	14.92	3448336.0
SRR5517296_GSM2608519_NMR_NF_3439_HRT_Heterocephalus_glaber_RNA-Seq	15.0	5183768.0
SRR5517297_GSM2608521_NMR_NF_3605_HRT_Heterocephalus_glaber_RNA-Seq	15.83	4460762.0
SRR5517298_GSM2608523_NMR_NF_4060_HRT_Heterocephalus_glaber_RNA-Seq	14.61	4104614.0
SRR5517299_GSM2608525_NMR_BF_4121_HRT_Heterocephalus_glaber_RNA-Seq	14.99	4172776.0
SRR5517300_GSM2608526_NMR_BF_4772_HRT_Heterocephalus_glaber_RNA-Seq	14.91	4238107.0
SRR5517301_GSM2608528_NMR_NM_4925_HRT_Heterocephalus_glaber_RNA-Seq	15.25	4679294.0
SRR5517302_GSM2608530_NMR_BM_5982_HRT_Heterocephalus_glaber_RNA-Seq	15.42	5252328.0
SRR5517303_GSM2608532_NMR_NM_6074_HRT_Heterocephalus_glaber_RNA-Seq	14.67	4411327.0
SRR5517304_GSM2608534_NMR_NM_6206_HRT_Heterocephalus_glaber_RNA-Seq	15.43	4947359.0
SRR5517305_GSM2608536_NMR_BF_6382_HRT_Heterocephalus_glaber_RNA-Seq	16.65	4014398.0
SRR5517306_GSM2608537_NMR_BM_6656_HRT_Heterocephalus_glaber_RNA-Seq	15.66	4485499.0
SRR5517307_GSM2608539_NMR_NF_0525_PIT_Heterocephalus_glaber_RNA-Seq	18.19	3769873.0
SRR5517308_GSM2608541_NMR_NF_0525_HYP_Heterocephalus_glaber_RNA-Seq	16.27	3911412.0
SRR5517309_GSM2608543_NMR_NF_0525_CER_Heterocephalus_glaber_RNA-Seq	15.7	4039470.0
SRR5517310_GSM2608545_NMR_NM_0713_PIT_Heterocephalus_glaber_RNA-Seq	18.85	5264415.0
SRR5517311_GSM2608547_NMR_NM_0713_HYP_Heterocephalus_glaber_RNA-Seq	16.88	5033900.0
SRR5517312_GSM2608549_NMR_NM_0713_CER_Heterocephalus_glaber_RNA-Seq	16.63	3906186.0
SRR5517313_GSM2608551_NMR_BF_1090_PIT_Heterocephalus_glaber_RNA-Seq	18.79	5677333.0
SRR5517314_GSM2608553_NMR_BF_1090_HYP_Heterocephalus_glaber_RNA-Seq	15.67	3608440.0
SRR5517315_GSM2608554_NMR_BF_1090_CER_Heterocephalus_glaber_RNA-Seq	16.22	4862602.0
SRR5517316_GSM2608556_NMR_BM_1147_PIT_Heterocephalus_glaber_RNA-Seq	17.48	4284993.0
SRR5517317_GSM2608558_NMR_BM_1147_HYP_Heterocephalus_glaber_RNA-Seq	16.02	4828158.0
SRR5517318_GSM2608560_NMR_BM_1147_CER_Heterocephalus_glaber_RNA-Seq	16.85	5154103.0
SRR5517319_GSM2608561_NMR_BM_1215_PIT_Heterocephalus_glaber_RNA-Seq	18.12	5019392.0
SRR5517320_GSM2608564_NMR_BM_1215_HYP_Heterocephalus_glaber_RNA-Seq	16.73	3655913.0
SRR5517321_GSM2608565_NMR_BM_1215_CER_Heterocephalus_glaber_RNA-Seq	16.62	4242885.0
SRR5517322_GSM2608567_NMR_BM_1400_PIT_Heterocephalus_glaber_RNA-Seq	17.8	4576974.0
SRR5517323_GSM2608569_NMR_BM_1400_HYP_Heterocephalus_glaber_RNA-Seq	16.07	4468699.0
SRR5517324_GSM2608570_NMR_BM_1400_CER_Heterocephalus_glaber_RNA-Seq	15.99	3236981.0
SRR5517325_GSM2608572_NMR_NM_1449_PIT_Heterocephalus_glaber_RNA-Seq	18.27	5005257.0
SRR5517326_GSM2608574_NMR_NM_1449_HYP_Heterocephalus_glaber_RNA-Seq	16.38	3876031.0
SRR5517327_GSM2608576_NMR_NM_1449_CER_Heterocephalus_glaber_RNA-Seq	16.47	4964917.0
SRR5517328_GSM2608578_NMR_BF_1816_PIT_Heterocephalus_glaber_RNA-Seq	18.41	4688828.0
SRR5517329_GSM2608579_NMR_BF_1816_CER_Heterocephalus_glaber_RNA-Seq	16.09	3901212.0
SRR5517330_GSM2608581_NMR_NF_2411_PIT_Heterocephalus_glaber_RNA-Seq	18.83	4909109.0
SRR5517331_GSM2608583_NMR_NF_2411_HYP_Heterocephalus_glaber_RNA-Seq	16.66	4573540.0
SRR5517332_GSM2608585_NMR_NF_2411_CER_Heterocephalus_glaber_RNA-Seq	16.2	4780373.0
SRR5517333_GSM2608587_NMR_NF_2969_PIT_Heterocephalus_glaber_RNA-Seq	18.69	5803372.0
SRR5517334_GSM2608589_NMR_NF_2969_HYP_Heterocephalus_glaber_RNA-Seq	16.09	4133473.0
SRR5517335_GSM2608591_NMR_NF_2969_CER_Heterocephalus_glaber_RNA-Seq	16.36	3645101.0
SRR5517336_GSM2608593_NMR_BM_3274_PIT_Heterocephalus_glaber_RNA-Seq	17.84	5526779.0
SRR5517337_GSM2608595_NMR_BM_3274_HYP_Heterocephalus_glaber_RNA-Seq	16.49	4227268.0
SRR5517338_GSM2608596_NMR_NM_3295_PIT_Heterocephalus_glaber_RNA-Seq	17.06	4317957.0
SRR5517339_GSM2608598_NMR_NM_3295_HYP_Heterocephalus_glaber_RNA-Seq	16.8	4580783.0
SRR5517340_GSM2608600_NMR_NM_3295_CER_Heterocephalus_glaber_RNA-Seq	17.15	4997157.0
SRR5517341_GSM2608602_NMR_NF_3439_PIT_Heterocephalus_glaber_RNA-Seq	18.13	6386983.0
SRR5517342_GSM2608604_NMR_NF_3439_HYP_Heterocephalus_glaber_RNA-Seq	16.08	4038365.0
SRR5517343_GSM2608606_NMR_NF_3439_CER_Heterocephalus_glaber_RNA-Seq	15.9	4524810.0
SRR5517344_GSM2608607_NMR_NF_3605_PIT_Heterocephalus_glaber_RNA-Seq	19.06	5329846.0
SRR5517345_GSM2608609_NMR_NF_3605_HYP_Heterocephalus_glaber_RNA-Seq	15.97	4237177.0
SRR5517346_GSM2608611_NMR_NF_3605_CER_Heterocephalus_glaber_RNA-Seq	15.96	4169194.0
SRR5517347_GSM2608613_NMR_NF_4060_PIT_Heterocephalus_glaber_RNA-Seq	17.95	4297315.0
SRR5517348_GSM2608615_NMR_NF_4060_HYP_Heterocephalus_glaber_RNA-Seq	16.2	5008091.0
SRR5517349_GSM2608617_NMR_NF_4060_CER_Heterocephalus_glaber_RNA-Seq	16.07	3808966.0
SRR5517350_GSM2608620_NMR_BF_4121_PIT_Heterocephalus_glaber_RNA-Seq	18.17	5089566.0
SRR5517351_GSM2608622_NMR_BF_4121_HYP_Heterocephalus_glaber_RNA-Seq	16.41	4120416.0
SRR5517352_GSM2608623_NMR_BF_4121_CER_Heterocephalus_glaber_RNA-Seq	16.03	5074367.0
SRR5517353_GSM2608625_NMR_BF_4772_PIT_Heterocephalus_glaber_RNA-Seq	18.51	5214482.0
SRR5517354_GSM2608627_NMR_BF_4772_CER_Heterocephalus_glaber_RNA-Seq	16.27	4268813.0
SRR5517355_GSM2608628_NMR_NM_4925_PIT_Heterocephalus_glaber_RNA-Seq	18.44	6123372.0
SRR5517356_GSM2608630_NMR_NM_4925_HYP_Heterocephalus_glaber_RNA-Seq	16.39	3269486.0
SRR5517357_GSM2608631_NMR_NM_4925_CER_Heterocephalus_glaber_RNA-Seq	16.36	3829900.0
SRR5517358_GSM2608633_NMR_BM_5982_PIT_Heterocephalus_glaber_RNA-Seq	18.1	4493280.0
SRR5517359_GSM2608635_NMR_BM_5982_HYP_Heterocephalus_glaber_RNA-Seq	16.95	5589714.0
SRR5517360_GSM2608637_NMR_BM_5982_CER_Heterocephalus_glaber_RNA-Seq	15.9	4475228.0
SRR5517361_GSM2608638_NMR_NM_6074_PIT_Heterocephalus_glaber_RNA-Seq	17.57	4432202.0
SRR5517362_GSM2608640_NMR_NM_6074_HYP_Heterocephalus_glaber_RNA-Seq	17.17	4659129.0
SRR5517363_GSM2608642_NMR_NM_6074_CER_Heterocephalus_glaber_RNA-Seq	15.93	4275463.0
SRR5517364_GSM2608644_NMR_NM_6206_PIT_Heterocephalus_glaber_RNA-Seq	17.78	4186019.0
SRR5517365_GSM2608645_NMR_NM_6206_HYP_Heterocephalus_glaber_RNA-Seq	16.28	4352588.0
SRR5517366_GSM2608647_NMR_NM_6206_CER_Heterocephalus_glaber_RNA-Seq	16.38	4973951.0
SRR5517367_GSM2608649_NMR_BF_6382_PIT_Heterocephalus_glaber_RNA-Seq	18.79	3991920.0
SRR5517368_GSM2608651_NMR_BF_6382_CER_Heterocephalus_glaber_RNA-Seq	15.93	5171108.0
SRR5517369_GSM2608653_NMR_BM_6656_PIT_Heterocephalus_glaber_RNA-Seq	17.91	5247302.0
SRR5517370_GSM2608655_NMR_BM_6656_HYP_Heterocephalus_glaber_RNA-Seq	16.81	4705617.0
SRR5517371_GSM2608657_NMR_BM_6656_CER_Heterocephalus_glaber_RNA-Seq	17.13	6046125.0
SRR5517372_GSM2608659_NMR_BF_6841_CER_Heterocephalus_glaber_RNA-Seq	16.39	5458638.0
SRR5517373_GSM2608661_NMR_NF_0525_SKN_Heterocephalus_glaber_RNA-Seq	15.47	4456782.0
SRR5517374_GSM2608663_NMR_NM_0713_SKN_Heterocephalus_glaber_RNA-Seq	14.37	4262215.0
SRR5517375_GSM2608665_NMR_BF_1090_SKN_Heterocephalus_glaber_RNA-Seq	15.91	3923727.0
SRR5517376_GSM2608667_NMR_BM_1147_SKN_Heterocephalus_glaber_RNA-Seq	13.44	4277557.0
SRR5517377_GSM2608669_NMR_BM_1215_SKN_Heterocephalus_glaber_RNA-Seq	15.31	4433525.0
SRR5517378_GSM2608671_NMR_BM_1400_SKN_Heterocephalus_glaber_RNA-Seq	12.84	2817704.0
SRR5517379_GSM2608672_NMR_NM_1449_SKN_Heterocephalus_glaber_RNA-Seq	16.28	4741307.0
SRR5517380_GSM2608674_NMR_BF_1816_SKN_Heterocephalus_glaber_RNA-Seq	12.64	3510940.0
SRR5517381_GSM2608676_NMR_NF_2411_SKN_Heterocephalus_glaber_RNA-Seq	14.31	5060964.0
SRR5517382_GSM2608678_NMR_NF_2969_SKN_Heterocephalus_glaber_RNA-Seq	16.84	6345790.0
SRR5517383_GSM2608680_NMR_BM_3274_SKN_Heterocephalus_glaber_RNA-Seq	14.09	4253655.0
SRR5517384_GSM2608681_NMR_NM_3295_SKN_Heterocephalus_glaber_RNA-Seq	13.61	5018430.0
SRR5517385_GSM2608683_NMR_NF_3605_SKN_Heterocephalus_glaber_RNA-Seq	14.56	4955631.0
SRR5517386_GSM2608685_NMR_NF_4060_SKN_Heterocephalus_glaber_RNA-Seq	15.14	4526733.0
SRR5517387_GSM2608687_NMR_BF_4121_SKN_Heterocephalus_glaber_RNA-Seq	15.01	4431494.0
SRR5517388_GSM2608689_NMR_BF_4772_SKN_Heterocephalus_glaber_RNA-Seq	16.2	5823315.0
SRR5517389_GSM2608691_NMR_NM_4925_SKN_Heterocephalus_glaber_RNA-Seq	12.98	4481311.0
SRR5517390_GSM2608693_NMR_BM_5982_SKN_Heterocephalus_glaber_RNA-Seq	16.29	5474783.0
SRR5517391_GSM2608695_NMR_NM_6074_SKN_Heterocephalus_glaber_RNA-Seq	16.37	4300270.0
SRR5517392_GSM2608697_NMR_NM_6206_SKN_Heterocephalus_glaber_RNA-Seq	17.52	5507475.0
SRR5517393_GSM2608699_NMR_BF_6382_SKN_Heterocephalus_glaber_RNA-Seq	14.75	3691902.0
SRR5517394_GSM2608701_NMR_BM_6656_SKN_Heterocephalus_glaber_RNA-Seq	14.69	5469603.0
SRR5517410_GSM2608702_NMR_BF_6841_SKN_Heterocephalus_glaber_RNA-Seq	15.06	5230004.0
SRR5517411_GSM2608704_NMR_NF_3605_THY_Heterocephalus_glaber_RNA-Seq	15.33	4382299.0
SRR5517412_GSM2608706_NMR_BM_1215_HRT_Heterocephalus_glaber_RNA-Seq	15.76	3111313.0
SRR5517413_GSM2608706_NMR_BM_1215_HRT_Heterocephalus_glaber_RNA-Seq	16.09	420363.0
SRR5517414_GSM2608708_NMR_BF_1816_HYP_Heterocephalus_glaber_RNA-Seq	16.64	1451262.0
SRR5517415_GSM2608708_NMR_BF_1816_HYP_Heterocephalus_glaber_RNA-Seq	16.42	2896543.0
SRR5517416_GSM2608711_NMR_NM_3295_THY_Heterocephalus_glaber_RNA-Seq	6.77	1982718.0
SRR5517417_GSM2608711_NMR_NM_3295_THY_Heterocephalus_glaber_RNA-Seq	15.73	4532540.0
SRR5517418_GSM2608713_NMR_BF_4772_HYP_Heterocephalus_glaber_RNA-Seq	16.35	1660636.0
SRR5517419_GSM2608713_NMR_BF_4772_HYP_Heterocephalus_glaber_RNA-Seq	16.16	2799145.0
SRR5517420_GSM2608715_NMR_NM_4925_ADR_Heterocephalus_glaber_RNA-Seq	18.0	3494118.0
SRR5517421_GSM2608715_NMR_NM_4925_ADR_Heterocephalus_glaber_RNA-Seq	18.0	1264938.0
SRR5517422_GSM2608717_NMR_BF_6382_HYP_Heterocephalus_glaber_RNA-Seq	15.98	1387347.0
SRR5517423_GSM2608717_NMR_BF_6382_HYP_Heterocephalus_glaber_RNA-Seq	15.78	2514022.0
SRR5517424_GSM2608718_NMR_BF_6841_HRT_Heterocephalus_glaber_RNA-Seq	9.36	2884071.0
SRR5517425_GSM2608718_NMR_BF_6841_HRT_Heterocephalus_glaber_RNA-Seq	14.88	6481490.0
SRR5517426_GSM2608720_NMR_BF_6841_PIT_Heterocephalus_glaber_RNA-Seq	19.37	3339260.0
SRR5517427_GSM2608720_NMR_BF_6841_PIT_Heterocephalus_glaber_RNA-Seq	19.29	1021074.0
SRR5517428_GSM2608722_NMR_BF_6841_HYP_Heterocephalus_glaber_RNA-Seq	16.1	1438640.0
SRR5517429_GSM2608722_NMR_BF_6841_HYP_Heterocephalus_glaber_RNA-Seq	15.89	2161796.0
SRR5517430_GSM2608724_NMR_NF_3439_SKN_Heterocephalus_glaber_RNA-Seq	14.96	3944050.0
