Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	4276765.0	1309707.0	51812.0	18598928.0	2424.0
SRR5517224_GSM2608381_NMR_BF_4121_KID_Heterocephalus_glaber_RNA-Seq	5023968.0	1254842.0	48835.0	25070028.0	0.0
SRR5517225_GSM2608383_NMR_BF_4772_ADR_Heterocephalus_glaber_RNA-Seq	6800062.0	3627519.0	129485.0	17443692.0	0.0
SRR5517226_GSM2608385_NMR_BF_4772_KID_Heterocephalus_glaber_RNA-Seq	3339171.0	927570.0	37868.0	17970330.0	2228.0
SRR5517227_GSM2608387_NMR_NM_4925_KID_Heterocephalus_glaber_RNA-Seq	4131577.0	984922.0	37756.0	19908065.0	0.0
SRR5517228_GSM2608389_NMR_BM_5982_ADR_Heterocephalus_glaber_RNA-Seq	5349651.0	2114476.0	76316.0	18651465.0	2619.0
SRR5517229_GSM2608390_NMR_BM_5982_KID_Heterocephalus_glaber_RNA-Seq	4381132.0	1041976.0	41377.0	20513347.0	0.0
SRR5517230_GSM2608392_NMR_NM_6074_ADR_Heterocephalus_glaber_RNA-Seq	4170830.0	1247952.0	50186.0	17609085.0	2308.0
SRR5517231_GSM2608394_NMR_NM_6074_KID_Heterocephalus_glaber_RNA-Seq	4632757.0	1230293.0	48044.0	23367484.0	0.0
SRR5517232_GSM2608396_NMR_NM_6206_ADR_Heterocephalus_glaber_RNA-Seq	5293370.0	1417515.0	54932.0	25284371.0	3205.0
SRR5517233_GSM2608398_NMR_NM_6206_KID_Heterocephalus_glaber_RNA-Seq	4301991.0	1033557.0	39365.0	21215956.0	0.0
SRR5517234_GSM2608400_NMR_BF_6382_ADR_Heterocephalus_glaber_RNA-Seq	5478937.0	1720312.0	69782.0	22443191.0	2971.0
SRR5517235_GSM2608402_NMR_BF_6382_KID_Heterocephalus_glaber_RNA-Seq	3482117.0	884164.0	35053.0	16780741.0	0.0
SRR5517236_GSM2608404_NMR_BM_6656_ADR_Heterocephalus_glaber_RNA-Seq	4813478.0	1312855.0	55182.0	24062852.0	3024.0
SRR5517237_GSM2608405_NMR_BM_6656_KID_Heterocephalus_glaber_RNA-Seq	4667479.0	1158959.0	45495.0	24527896.0	3040.0
SRR5517238_GSM2608407_NMR_BF_6841_ADR_Heterocephalus_glaber_RNA-Seq	6453205.0	1911697.0	77984.0	26162601.0	3461.0
SRR5517239_GSM2608409_NMR_BF_6841_KID_Heterocephalus_glaber_RNA-Seq	4744331.0	1279462.0	52125.0	22470392.0	2855.0
SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq	5874840.0	2054440.0	93265.0	21806480.0	0.0
SRR5517241_GSM2608412_NMR_NF_0525_THY_Heterocephalus_glaber_RNA-Seq	4179214.0	1010059.0	42763.0	21726774.0	0.0
SRR5517242_GSM2608414_NMR_NM_0713_TES_Heterocephalus_glaber_RNA-Seq	3556521.0	843265.0	37623.0	15981119.0	0.0
SRR5517243_GSM2608416_NMR_NM_0713_THY_Heterocephalus_glaber_RNA-Seq	4669048.0	1231046.0	55801.0	21678650.0	0.0
SRR5517244_GSM2608418_NMR_BF_1090_OVR_Heterocephalus_glaber_RNA-Seq	3874276.0	1342925.0	62853.0	15922040.0	0.0
SRR5517245_GSM2608420_NMR_BF_1090_THY_Heterocephalus_glaber_RNA-Seq	4819424.0	1157987.0	50109.0	22092067.0	0.0
SRR5517246_GSM2608422_NMR_BM_1147_TES_Heterocephalus_glaber_RNA-Seq	5424838.0	1370986.0	55307.0	21709560.0	0.0
SRR5517247_GSM2608423_NMR_BM_1147_THY_Heterocephalus_glaber_RNA-Seq	4391231.0	1229092.0	45771.0	20231069.0	0.0
SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq	4840000.0	1429443.0	59676.0	20048025.0	0.0
SRR5517249_GSM2608427_NMR_BM_1215_THY_Heterocephalus_glaber_RNA-Seq	3334571.0	864757.0	38731.0	19390144.0	0.0
SRR5517250_GSM2608429_NMR_BM_1400_TES_Heterocephalus_glaber_RNA-Seq	5013400.0	1310742.0	54101.0	20618089.0	0.0
SRR5517251_GSM2608431_NMR_BM_1400_THY_Heterocephalus_glaber_RNA-Seq	3523845.0	1053371.0	48448.0	20720424.0	0.0
SRR5517252_GSM2608433_NMR_NM_1449_TES_Heterocephalus_glaber_RNA-Seq	6355835.0	1532895.0	63650.0	23576857.0	0.0
SRR5517253_GSM2608435_NMR_NM_1449_THY_Heterocephalus_glaber_RNA-Seq	3351642.0	930777.0	45038.0	19450773.0	0.0
SRR5517254_GSM2608437_NMR_BF_1816_HRT_Heterocephalus_glaber_RNA-Seq	3854689.0	973255.0	29214.0	19781991.0	0.0
SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq	6155501.0	2042253.0	87596.0	23057307.0	0.0
SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq	4543919.0	1564156.0	71473.0	17576116.0	0.0
SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq	3971851.0	1003455.0	44841.0	18196906.0	0.0
SRR5517258_GSM2608444_NMR_NF_2969_OVR_Heterocephalus_glaber_RNA-Seq	3947919.0	1297652.0	62214.0	18471028.0	0.0
SRR5517259_GSM2608446_NMR_NF_2969_THY_Heterocephalus_glaber_RNA-Seq	4148069.0	1096033.0	50368.0	20938909.0	0.0
SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq	3995901.0	1131618.0	47788.0	19015695.0	0.0
SRR5517261_GSM2608452_NMR_BM_3274_THY_Heterocephalus_glaber_RNA-Seq	5051840.0	1201588.0	52576.0	25096083.0	0.0
SRR5517262_GSM2608454_NMR_NM_3295_TES_Heterocephalus_glaber_RNA-Seq	4575809.0	1248898.0	53775.0	18019541.0	0.0
SRR5517263_GSM2608456_NMR_NF_3439_OVR_Heterocephalus_glaber_RNA-Seq	5185000.0	1670097.0	74467.0	19437646.0	0.0
SRR5517264_GSM2608457_NMR_NF_3439_THY_Heterocephalus_glaber_RNA-Seq	3779030.0	953539.0	43471.0	20924106.0	0.0
SRR5517265_GSM2608459_NMR_NF_3605_OVR_Heterocephalus_glaber_RNA-Seq	4269388.0	1448919.0	62937.0	16431506.0	0.0
SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq	5248216.0	1863786.0	84896.0	20226083.0	0.0
SRR5517267_GSM2608463_NMR_NF_4060_THY_Heterocephalus_glaber_RNA-Seq	4611480.0	1025715.0	43110.0	22476617.0	0.0
SRR5517268_GSM2608465_NMR_BF_4121_OVR_Heterocephalus_glaber_RNA-Seq	5260987.0	1915290.0	87687.0	20149783.0	0.0
SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq	4641896.0	1143371.0	51485.0	21395105.0	0.0
SRR5517270_GSM2608469_NMR_BF_4772_OVR_Heterocephalus_glaber_RNA-Seq	4261691.0	1489715.0	68484.0	17456155.0	0.0
SRR5517271_GSM2608471_NMR_BF_4772_THY_Heterocephalus_glaber_RNA-Seq	3817007.0	994192.0	44500.0	18090339.0	0.0
SRR5517272_GSM2608473_NMR_NM_4925_TES_Heterocephalus_glaber_RNA-Seq	6049922.0	1477141.0	58825.0	23893114.0	0.0
SRR5517273_GSM2608475_NMR_NM_4925_THY_Heterocephalus_glaber_RNA-Seq	3942005.0	1036231.0	47855.0	20998151.0	0.0
SRR5517274_GSM2608477_NMR_BM_5982_TES_Heterocephalus_glaber_RNA-Seq	6674259.0	1745712.0	74007.0	26090958.0	0.0
SRR5517275_GSM2608479_NMR_BM_5982_THY_Heterocephalus_glaber_RNA-Seq	3431706.0	803069.0	34474.0	16399713.0	0.0
SRR5517276_GSM2608481_NMR_NM_6074_TES_Heterocephalus_glaber_RNA-Seq	5232633.0	1311109.0	54398.0	20015008.0	0.0
SRR5517277_GSM2608483_NMR_NM_6074_THY_Heterocephalus_glaber_RNA-Seq	4777047.0	1155559.0	51266.0	23512432.0	0.0
SRR5517278_GSM2608485_NMR_NM_6206_TES_Heterocephalus_glaber_RNA-Seq	4684269.0	1077086.0	44033.0	17637465.0	0.0
SRR5517279_GSM2608487_NMR_NM_6206_THY_Heterocephalus_glaber_RNA-Seq	4178671.0	1055716.0	47627.0	21723819.0	0.0
SRR5517280_GSM2608489_NMR_BF_6382_OVR_Heterocephalus_glaber_RNA-Seq	5533530.0	1879761.0	85930.0	21325873.0	0.0
SRR5517281_GSM2608491_NMR_BF_6382_THY_Heterocephalus_glaber_RNA-Seq	5537787.0	1210440.0	48335.0	23695562.0	0.0
SRR5517282_GSM2608493_NMR_BM_6656_TES_Heterocephalus_glaber_RNA-Seq	5416677.0	1529238.0	62844.0	22936980.0	0.0
SRR5517283_GSM2608495_NMR_BM_6656_THY_Heterocephalus_glaber_RNA-Seq	3933444.0	992636.0	46392.0	20890421.0	0.0
SRR5517284_GSM2608497_NMR_BF_6841_OVR_Heterocephalus_glaber_RNA-Seq	5624828.0	2018127.0	94123.0	22641684.0	0.0
SRR5517285_GSM2608499_NMR_BF_6841_THY_Heterocephalus_glaber_RNA-Seq	4556578.0	1000553.0	41401.0	19934762.0	0.0
SRR5517286_GSM2608500_NMR_NF_0525_HRT_Heterocephalus_glaber_RNA-Seq	2906267.0	814375.0	22911.0	24553253.0	0.0
SRR5517287_GSM2608502_NMR_NM_0713_HRT_Heterocephalus_glaber_RNA-Seq	3652174.0	902525.0	21736.0	18596006.0	0.0
SRR5517288_GSM2608504_NMR_BF_1090_HRT_Heterocephalus_glaber_RNA-Seq	4349713.0	1066293.0	27177.0	22850650.0	0.0
SRR5517289_GSM2608506_NMR_BM_1147_HRT_Heterocephalus_glaber_RNA-Seq	4657320.0	1156296.0	30889.0	23154371.0	0.0
SRR5517290_GSM2608508_NMR_BM_1400_HRT_Heterocephalus_glaber_RNA-Seq	4814532.0	1197363.0	31961.0	24009729.0	0.0
SRR5517291_GSM2608510_NMR_NM_1449_HRT_Heterocephalus_glaber_RNA-Seq	3428568.0	860578.0	21127.0	18330065.0	0.0
SRR5517292_GSM2608512_NMR_NF_2411_HRT_Heterocephalus_glaber_RNA-Seq	3646870.0	1040869.0	27877.0	21509104.0	0.0
SRR5517293_GSM2608514_NMR_NF_2969_HRT_Heterocephalus_glaber_RNA-Seq	3319746.0	839952.0	20130.0	19205673.0	0.0
SRR5517294_GSM2608516_NMR_BM_3274_HRT_Heterocephalus_glaber_RNA-Seq	4936927.0	1180038.0	28655.0	25692065.0	0.0
SRR5517295_GSM2608518_NMR_NM_3295_HRT_Heterocephalus_glaber_RNA-Seq	3448336.0	828883.0	20829.0	18817862.0	0.0
SRR5517296_GSM2608519_NMR_NF_3439_HRT_Heterocephalus_glaber_RNA-Seq	5183768.0	1300321.0	32942.0	28043113.0	0.0
SRR5517297_GSM2608521_NMR_NF_3605_HRT_Heterocephalus_glaber_RNA-Seq	4460762.0	1081339.0	28985.0	22602096.0	0.0
SRR5517298_GSM2608523_NMR_NF_4060_HRT_Heterocephalus_glaber_RNA-Seq	4104614.0	1023602.0	24690.0	22937059.0	0.0
SRR5517299_GSM2608525_NMR_BF_4121_HRT_Heterocephalus_glaber_RNA-Seq	4172776.0	1005855.0	23832.0	22626897.0	0.0
SRR5517300_GSM2608526_NMR_BF_4772_HRT_Heterocephalus_glaber_RNA-Seq	4238107.0	1078885.0	29796.0	23070116.0	0.0
SRR5517301_GSM2608528_NMR_NM_4925_HRT_Heterocephalus_glaber_RNA-Seq	4679294.0	1130578.0	29961.0	24849018.0	0.0
SRR5517302_GSM2608530_NMR_BM_5982_HRT_Heterocephalus_glaber_RNA-Seq	5252328.0	1307780.0	33356.0	27476220.0	0.0
SRR5517303_GSM2608532_NMR_NM_6074_HRT_Heterocephalus_glaber_RNA-Seq	4411327.0	1136751.0	27250.0	24484895.0	0.0
SRR5517304_GSM2608534_NMR_NM_6206_HRT_Heterocephalus_glaber_RNA-Seq	4947359.0	1212286.0	29943.0	25866019.0	0.0
SRR5517305_GSM2608536_NMR_BF_6382_HRT_Heterocephalus_glaber_RNA-Seq	4014398.0	1020881.0	30400.0	19048880.0	0.0
SRR5517306_GSM2608537_NMR_BM_6656_HRT_Heterocephalus_glaber_RNA-Seq	4485499.0	1051266.0	26579.0	23072201.0	0.0
SRR5517307_GSM2608539_NMR_NF_0525_PIT_Heterocephalus_glaber_RNA-Seq	3769873.0	667104.0	26554.0	16265744.0	0.0
SRR5517308_GSM2608541_NMR_NF_0525_HYP_Heterocephalus_glaber_RNA-Seq	3911412.0	864481.0	30282.0	19235660.0	2404.0
SRR5517309_GSM2608543_NMR_NF_0525_CER_Heterocephalus_glaber_RNA-Seq	4039470.0	663826.0	23901.0	21004050.0	2573.0
SRR5517310_GSM2608545_NMR_NM_0713_PIT_Heterocephalus_glaber_RNA-Seq	5264415.0	1285946.0	56081.0	21323469.0	0.0
SRR5517311_GSM2608547_NMR_NM_0713_HYP_Heterocephalus_glaber_RNA-Seq	5033900.0	963975.0	33273.0	23788129.0	2982.0
SRR5517312_GSM2608549_NMR_NM_0713_CER_Heterocephalus_glaber_RNA-Seq	3906186.0	561554.0	19688.0	18993943.0	2348.0
SRR5517313_GSM2608551_NMR_BF_1090_PIT_Heterocephalus_glaber_RNA-Seq	5677333.0	985514.0	40650.0	23511709.0	0.0
SRR5517314_GSM2608553_NMR_BF_1090_HYP_Heterocephalus_glaber_RNA-Seq	3608440.0	685110.0	24451.0	18705609.0	4606.0
SRR5517315_GSM2608554_NMR_BF_1090_CER_Heterocephalus_glaber_RNA-Seq	4862602.0	769613.0	27848.0	24318458.0	2998.0
SRR5517316_GSM2608556_NMR_BM_1147_PIT_Heterocephalus_glaber_RNA-Seq	4284993.0	874066.0	34695.0	19324230.0	0.0
SRR5517317_GSM2608558_NMR_BM_1147_HYP_Heterocephalus_glaber_RNA-Seq	4828158.0	898951.0	31095.0	24383959.0	3014.0
SRR5517318_GSM2608560_NMR_BM_1147_CER_Heterocephalus_glaber_RNA-Seq	5154103.0	734503.0	26231.0	24668931.0	3059.0
SRR5517319_GSM2608561_NMR_BM_1215_PIT_Heterocephalus_glaber_RNA-Seq	5019392.0	1016149.0	43234.0	21624311.0	0.0
SRR5517320_GSM2608564_NMR_BM_1215_HYP_Heterocephalus_glaber_RNA-Seq	3655913.0	715264.0	24519.0	17458454.0	2186.0
SRR5517321_GSM2608565_NMR_BM_1215_CER_Heterocephalus_glaber_RNA-Seq	4242885.0	688525.0	25027.0	20567093.0	2553.0
SRR5517322_GSM2608567_NMR_BM_1400_PIT_Heterocephalus_glaber_RNA-Seq	4576974.0	841702.0	33771.0	20257585.0	0.0
SRR5517323_GSM2608569_NMR_BM_1400_HYP_Heterocephalus_glaber_RNA-Seq	4468699.0	770009.0	25866.0	22537686.0	2780.0
SRR5517324_GSM2608570_NMR_BM_1400_CER_Heterocephalus_glaber_RNA-Seq	3236981.0	514435.0	18649.0	16467143.0	2024.0
SRR5517325_GSM2608572_NMR_NM_1449_PIT_Heterocephalus_glaber_RNA-Seq	5005257.0	844744.0	34902.0	21505312.0	0.0
SRR5517326_GSM2608574_NMR_NM_1449_HYP_Heterocephalus_glaber_RNA-Seq	3876031.0	742237.0	26296.0	19012651.0	2366.0
SRR5517327_GSM2608576_NMR_NM_1449_CER_Heterocephalus_glaber_RNA-Seq	4964917.0	775849.0	28031.0	24366338.0	3014.0
SRR5517328_GSM2608578_NMR_BF_1816_PIT_Heterocephalus_glaber_RNA-Seq	4688828.0	812921.0	31506.0	19937900.0	2547.0
SRR5517329_GSM2608579_NMR_BF_1816_CER_Heterocephalus_glaber_RNA-Seq	3901212.0	618509.0	21711.0	19708705.0	2425.0
SRR5517330_GSM2608581_NMR_NF_2411_PIT_Heterocephalus_glaber_RNA-Seq	4909109.0	871536.0	34674.0	20262213.0	0.0
SRR5517331_GSM2608583_NMR_NF_2411_HYP_Heterocephalus_glaber_RNA-Seq	4573540.0	829651.0	28763.0	22022874.0	2746.0
SRR5517332_GSM2608585_NMR_NF_2411_CER_Heterocephalus_glaber_RNA-Seq	4780373.0	706038.0	25017.0	23997452.0	2951.0
SRR5517333_GSM2608587_NMR_NF_2969_PIT_Heterocephalus_glaber_RNA-Seq	5803372.0	784837.0	38110.0	24422012.0	0.0
SRR5517334_GSM2608589_NMR_NF_2969_HYP_Heterocephalus_glaber_RNA-Seq	4133473.0	753944.0	25400.0	20769212.0	2569.0
SRR5517335_GSM2608591_NMR_NF_2969_CER_Heterocephalus_glaber_RNA-Seq	3645101.0	600829.0	22164.0	18004558.0	2227.0
SRR5517336_GSM2608593_NMR_BM_3274_PIT_Heterocephalus_glaber_RNA-Seq	5526779.0	992921.0	39977.0	24421923.0	0.0
SRR5517337_GSM2608595_NMR_BM_3274_HYP_Heterocephalus_glaber_RNA-Seq	4227268.0	770805.0	26440.0	20600794.0	2563.0
SRR5517338_GSM2608596_NMR_NM_3295_PIT_Heterocephalus_glaber_RNA-Seq	4317957.0	805568.0	34351.0	20154581.0	0.0
SRR5517339_GSM2608598_NMR_NM_3295_HYP_Heterocephalus_glaber_RNA-Seq	4580783.0	747988.0	24401.0	21917149.0	2727.0
SRR5517340_GSM2608600_NMR_NM_3295_CER_Heterocephalus_glaber_RNA-Seq	4997157.0	721749.0	25506.0	23398129.0	2915.0
SRR5517341_GSM2608602_NMR_NF_3439_PIT_Heterocephalus_glaber_RNA-Seq	6386983.0	1148888.0	46602.0	27647866.0	0.0
SRR5517342_GSM2608604_NMR_NF_3439_HYP_Heterocephalus_glaber_RNA-Seq	4038365.0	718465.0	24631.0	20333179.0	2512.0
SRR5517343_GSM2608606_NMR_NF_3439_CER_Heterocephalus_glaber_RNA-Seq	4524810.0	710778.0	25566.0	23201045.0	2846.0
SRR5517344_GSM2608607_NMR_NF_3605_PIT_Heterocephalus_glaber_RNA-Seq	5329846.0	713290.0	34732.0	21885135.0	2796.0
SRR5517345_GSM2608609_NMR_NF_3605_HYP_Heterocephalus_glaber_RNA-Seq	4237177.0	783308.0	26508.0	21476194.0	2653.0
SRR5517346_GSM2608611_NMR_NF_3605_CER_Heterocephalus_glaber_RNA-Seq	4169194.0	696373.0	25222.0	21236957.0	2613.0
SRR5517347_GSM2608613_NMR_NF_4060_PIT_Heterocephalus_glaber_RNA-Seq	4297315.0	801329.0	31990.0	18808987.0	0.0
SRR5517348_GSM2608615_NMR_NF_4060_HYP_Heterocephalus_glaber_RNA-Seq	5008091.0	954003.0	33526.0	24912805.0	3091.0
SRR5517349_GSM2608617_NMR_NF_4060_CER_Heterocephalus_glaber_RNA-Seq	3808966.0	636780.0	23066.0	19225226.0	2370.0
SRR5517350_GSM2608620_NMR_BF_4121_PIT_Heterocephalus_glaber_RNA-Seq	5089566.0	898511.0	35932.0	21985919.0	0.0
SRR5517351_GSM2608622_NMR_BF_4121_HYP_Heterocephalus_glaber_RNA-Seq	4120416.0	788038.0	27249.0	20175265.0	2512.0
SRR5517352_GSM2608623_NMR_BF_4121_CER_Heterocephalus_glaber_RNA-Seq	5074367.0	795658.0	28246.0	25744326.0	3165.0
SRR5517353_GSM2608625_NMR_BF_4772_PIT_Heterocephalus_glaber_RNA-Seq	5214482.0	923324.0	37058.0	21991919.0	2817.0
SRR5517354_GSM2608627_NMR_BF_4772_CER_Heterocephalus_glaber_RNA-Seq	4268813.0	733593.0	26988.0	21208047.0	2624.0
SRR5517355_GSM2608628_NMR_NM_4925_PIT_Heterocephalus_glaber_RNA-Seq	6123372.0	1154175.0	45885.0	25877640.0	0.0
SRR5517356_GSM2608630_NMR_NM_4925_HYP_Heterocephalus_glaber_RNA-Seq	3269486.0	604212.0	20335.0	16048688.0	1995.0
SRR5517357_GSM2608631_NMR_NM_4925_CER_Heterocephalus_glaber_RNA-Seq	3829900.0	612490.0	22034.0	18940594.0	2341.0
SRR5517358_GSM2608633_NMR_BM_5982_PIT_Heterocephalus_glaber_RNA-Seq	4493280.0	791910.0	31520.0	19510449.0	0.0
SRR5517359_GSM2608635_NMR_BM_5982_HYP_Heterocephalus_glaber_RNA-Seq	5589714.0	1059948.0	36941.0	26296203.0	3299.0
SRR5517360_GSM2608637_NMR_BM_5982_CER_Heterocephalus_glaber_RNA-Seq	4475228.0	831471.0	28694.0	22801766.0	2814.0
SRR5517361_GSM2608638_NMR_NM_6074_PIT_Heterocephalus_glaber_RNA-Seq	4432202.0	853310.0	34519.0	19901538.0	0.0
SRR5517362_GSM2608640_NMR_NM_6074_HYP_Heterocephalus_glaber_RNA-Seq	4659129.0	913412.0	31681.0	21526904.0	2714.0
SRR5517363_GSM2608642_NMR_NM_6074_CER_Heterocephalus_glaber_RNA-Seq	4275463.0	772154.0	28442.0	21754749.0	2683.0
SRR5517364_GSM2608644_NMR_NM_6206_PIT_Heterocephalus_glaber_RNA-Seq	4186019.0	808613.0	33676.0	18517590.0	0.0
SRR5517365_GSM2608645_NMR_NM_6206_HYP_Heterocephalus_glaber_RNA-Seq	4352588.0	794730.0	26938.0	21563211.0	2674.0
SRR5517366_GSM2608647_NMR_NM_6206_CER_Heterocephalus_glaber_RNA-Seq	4973951.0	771084.0	27224.0	24588195.0	3036.0
SRR5517367_GSM2608649_NMR_BF_6382_PIT_Heterocephalus_glaber_RNA-Seq	3991920.0	776945.0	30455.0	16443717.0	2125.0
SRR5517368_GSM2608651_NMR_BF_6382_CER_Heterocephalus_glaber_RNA-Seq	5171108.0	792249.0	27557.0	26476915.0	3247.0
SRR5517369_GSM2608653_NMR_BM_6656_PIT_Heterocephalus_glaber_RNA-Seq	5247302.0	967892.0	38602.0	23043022.0	0.0
SRR5517370_GSM2608655_NMR_BM_6656_HYP_Heterocephalus_glaber_RNA-Seq	4705617.0	912384.0	31626.0	22343758.0	2800.0
SRR5517371_GSM2608657_NMR_BM_6656_CER_Heterocephalus_glaber_RNA-Seq	6046125.0	885524.0	31463.0	28331432.0	3530.0
SRR5517372_GSM2608659_NMR_BF_6841_CER_Heterocephalus_glaber_RNA-Seq	5458638.0	863148.0	30688.0	26956319.0	3331.0
SRR5517373_GSM2608661_NMR_NF_0525_SKN_Heterocephalus_glaber_RNA-Seq	4456782.0	1694119.0	82743.0	22570990.0	2880.0
SRR5517374_GSM2608663_NMR_NM_0713_SKN_Heterocephalus_glaber_RNA-Seq	4262215.0	1605713.0	78078.0	23711364.0	2966.0
SRR5517375_GSM2608665_NMR_BF_1090_SKN_Heterocephalus_glaber_RNA-Seq	3923727.0	1446241.0	73060.0	19220841.0	2467.0
SRR5517376_GSM2608667_NMR_BM_1147_SKN_Heterocephalus_glaber_RNA-Seq	4277557.0	1555958.0	73891.0	25907320.0	3182.0
SRR5517377_GSM2608669_NMR_BM_1215_SKN_Heterocephalus_glaber_RNA-Seq	4433525.0	1712635.0	87500.0	22720051.0	2896.0
