Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR5517202_GSM2608341_NMR_BM_1400_ADR_Heterocephalus_glaber_RNA-Seq	31483055.0	50.0	5435867.0	17.27	49.34	909471.0	887383.0	897427.0	7736.0	1185.0	3123.0	7.23	0.02	1.65	0.01	1.48	1468644.0	4.66	57939.0	0.18	0.0	77.88	0.01	0	24517457	3148
SRR5517203_GSM2608343_NMR_BM_1400_KID_Heterocephalus_glaber_RNA-Seq	25987055.0	50.0	4299344.0	16.54	49.33	743862.0	727779.0	735313.0	5608.0	765.0	2176.0	7.37	0.02	1.7	0.01	1.42	1053065.0	4.05	41411.0	0.16	0.0	79.24	0.01	0	20590636	2599
SRR5517204_GSM2608345_NMR_NM_1449_ADR_Heterocephalus_glaber_RNA-Seq	26739837.0	50.0	4803667.0	17.96	49.35	819898.0	801127.0	809328.0	6850.0	1065.0	2655.0	7.21	0.02	1.66	0.01	1.49	1286196.0	4.81	50766.0	0.19	0.0	77.03	0.0	0	20599208	0
SRR5517205_GSM2608347_NMR_NM_1449_KID_Heterocephalus_glaber_RNA-Seq	23841958.0	50.0	3761982.0	15.78	49.3	625634.0	610951.0	618292.0	4643.0	682.0	2017.0	7.36	0.02	1.7	0.02	1.41	971887.0	4.08	38800.0	0.16	0.0	79.98	0.0	0	19069289	0
SRR5517206_GSM2608349_NMR_BF_1816_ADR_Heterocephalus_glaber_RNA-Seq	29766726.0	50.0	5719452.0	19.21	49.39	977514.0	957625.0	964254.0	8925.0	1188.0	3147.0	7.23	0.02	1.64	0.01	1.48	1762727.0	5.92	70728.0	0.24	0.0	74.62	0.01	0	22210842	2977
SRR5517207_GSM2608351_NMR_BF_1816_KID_Heterocephalus_glaber_RNA-Seq	26258521.0	50.0	3189412.0	12.15	49.13	447657.0	434374.0	441876.0	3291.0	608.0	1882.0	7.5	0.03	1.7	0.02	1.4	968692.0	3.69	40027.0	0.15	0.0	84.0	0.01	0	22057764	2626
SRR5517208_GSM2608353_NMR_BF_1816_THY_Heterocephalus_glaber_RNA-Seq	23189295.0	50.0	4062009.0	17.52	49.35	754685.0	738153.0	746742.0	5372.0	749.0	1822.0	7.4	0.02	1.68	0.01	1.41	960098.0	4.14	41422.0	0.18	0.0	78.16	0.0	0	18125766	0
SRR5517209_GSM2608354_NMR_NF_2411_ADR_Heterocephalus_glaber_RNA-Seq	26196070.0	50.0	4657173.0	17.78	49.34	792757.0	773711.0	782249.0	6791.0	957.0	2760.0	7.21	0.02	1.67	0.01	1.49	1262451.0	4.82	49310.0	0.19	0.0	77.21	0.01	0	20224517	2619
SRR5517210_GSM2608356_NMR_NF_2411_KID_Heterocephalus_glaber_RNA-Seq	28576234.0	50.0	4642776.0	16.25	49.31	784215.0	766117.0	775087.0	5922.0	855.0	2351.0	7.42	0.02	1.68	0.02	1.42	1134106.0	3.97	45514.0	0.16	0.0	79.62	0.0	0	22753838	0
SRR5517211_GSM2608358_NMR_NF_2969_ADR_Heterocephalus_glaber_RNA-Seq	26825808.0	50.0	5060014.0	18.86	49.37	824539.0	806574.0	813838.0	7058.0	1058.0	2585.0	6.96	0.02	1.68	0.02	1.42	1587316.0	5.92	60189.0	0.22	0.0	74.99	0.01	0	20115607	2682
SRR5517212_GSM2608360_NMR_NF_2969_KID_Heterocephalus_glaber_RNA-Seq	30728060.0	50.0	5071699.0	16.51	49.33	869587.0	850351.0	859350.0	6831.0	925.0	2481.0	7.37	0.02	1.72	0.01	1.42	1222244.0	3.98	49278.0	0.16	0.0	79.35	0.01	0	24381766	3073
SRR5517213_GSM2608362_NMR_BM_3274_ADR_Heterocephalus_glaber_RNA-Seq	26606157.0	50.0	4507396.0	16.94	49.31	736329.0	718158.0	726080.0	6609.0	994.0	2646.0	7.23	0.02	1.64	0.02	1.48	1272069.0	4.78	51258.0	0.19	0.0	78.08	0.01	0	20772774	2660
SRR5517214_GSM2608363_NMR_BM_3274_KID_Heterocephalus_glaber_RNA-Seq	27049302.0	50.0	4514742.0	16.69	49.34	789766.0	772619.0	780603.0	6183.0	833.0	2147.0	7.4	0.02	1.69	0.01	1.43	1017236.0	3.76	38110.0	0.14	0.0	79.4	0.0	0	21479214	0
SRR5517215_GSM2608365_NMR_NM_3295_ADR_Heterocephalus_glaber_RNA-Seq	30442494.0	50.0	5200439.0	17.08	49.33	848448.0	826836.0	836622.0	7615.0	1183.0	3028.0	7.21	0.02	1.65	0.02	1.46	1445849.0	4.75	58425.0	0.19	0.0	77.97	0.01	0	23734737	3044
SRR5517216_GSM2608368_NMR_NM_3295_KID_Heterocephalus_glaber_RNA-Seq	26795188.0	50.0	4297732.0	16.04	49.34	733690.0	716823.0	725230.0	5548.0	764.0	2148.0	7.4	0.02	1.7	0.02	1.42	1026148.0	3.83	39908.0	0.15	0.0	79.98	0.01	0	21428721	2679
SRR5517217_GSM2608370_NMR_NF_3439_ADR_Heterocephalus_glaber_RNA-Seq	26799154.0	50.0	4933175.0	18.41	49.36	828251.0	810077.0	817335.0	7142.0	1080.0	2694.0	7.25	0.02	1.65	0.01	1.47	1477868.0	5.51	60229.0	0.22	0.0	75.85	0.01	0	20325202	2680
SRR5517218_GSM2608371_NMR_NF_3439_KID_Heterocephalus_glaber_RNA-Seq	28364331.0	50.0	4434646.0	15.63	49.31	741127.0	724516.0	732535.0	5567.0	804.0	2221.0	7.41	0.02	1.7	0.02	1.41	1113023.0	3.92	43731.0	0.15	0.0	80.28	0.01	0	22770095	2836
SRR5517219_GSM2608373_NMR_NF_3605_ADR_Heterocephalus_glaber_RNA-Seq	23268513.0	50.0	4365099.0	18.76	49.38	749625.0	733994.0	739882.0	6459.0	937.0	2347.0	7.16	0.02	1.67	0.02	1.49	1255583.0	5.4	48116.0	0.21	0.0	75.63	0.01	0	17597388	2327
SRR5517220_GSM2608374_NMR_NF_3605_KID_Heterocephalus_glaber_RNA-Seq	31245045.0	50.0	5047210.0	16.15	49.32	860412.0	841667.0	850486.0	6644.0	945.0	2337.0	7.41	0.02	1.71	0.01	1.4	1254610.0	4.02	50997.0	0.16	0.0	79.66	0.01	0	24889104	3124
SRR5517221_GSM2608376_NMR_NF_4060_ADR_Heterocephalus_glaber_RNA-Seq	25647684.0	50.0	4699278.0	18.32	49.34	791783.0	773985.0	781159.0	6977.0	1014.0	2633.0	7.2	0.02	1.65	0.02	1.47	1438400.0	5.61	59267.0	0.23	0.0	75.83	0.0	0	19450739	0
SRR5517222_GSM2608377_NMR_NF_4060_KID_Heterocephalus_glaber_RNA-Seq	25623992.0	50.0	4337765.0	16.93	49.34	749300.0	733309.0	740664.0	5725.0	824.0	2087.0	7.38	0.02	1.69	0.01	1.42	1016782.0	3.97	40080.0	0.16	0.0	78.94	0.0	0	20229365	0
SRR5517223_GSM2608379_NMR_BF_4121_ADR_Heterocephalus_glaber_RNA-Seq	24239636.0	50.0	4276765.0	17.64	49.34	705573.0	689601.0	695891.0	6260.0	870.0	2552.0	7.23	0.02	1.64	0.02	1.47	1309707.0	5.4	51812.0	0.21	0.0	76.73	0.01	0	18598928	2424
SRR5517224_GSM2608381_NMR_BF_4121_KID_Heterocephalus_glaber_RNA-Seq	31397673.0	50.0	5023968.0	16.0	49.31	858753.0	839607.0	848817.0	6498.0	937.0	2501.0	7.49	0.02	1.71	0.01	1.41	1254842.0	4.0	48835.0	0.16	0.0	79.84	0.0	0	25070028	0
SRR5517225_GSM2608383_NMR_BF_4772_ADR_Heterocephalus_glaber_RNA-Seq	28000758.0	50.0	6800062.0	24.29	49.4	637064.0	621437.0	628135.0	5792.0	859.0	2278.0	4.97	0.02	1.89	0.02	1.16	3627519.0	12.96	129485.0	0.46	0.0	62.29	0.0	0	17443692	0
SRR5517226_GSM2608385_NMR_BF_4772_KID_Heterocephalus_glaber_RNA-Seq	22277167.0	50.0	3339171.0	14.99	49.27	506008.0	492982.0	499652.0	4020.0	570.0	1766.0	7.17	0.02	1.7	0.02	1.4	927570.0	4.16	37868.0	0.17	0.0	80.67	0.01	0	17970330	2228
SRR5517227_GSM2608387_NMR_NM_4925_KID_Heterocephalus_glaber_RNA-Seq	25062320.0	50.0	4131577.0	16.49	49.35	725331.0	709731.0	717052.0	5556.0	793.0	1930.0	7.46	0.02	1.71	0.01	1.42	984922.0	3.93	37756.0	0.15	0.0	79.43	0.0	0	19908065	0
SRR5517228_GSM2608389_NMR_BM_5982_ADR_Heterocephalus_glaber_RNA-Seq	26194527.0	50.0	5349651.0	20.42	49.37	703377.0	687243.0	694054.0	6097.0	904.0	2322.0	6.07	0.02	1.76	0.02	1.28	2114476.0	8.07	76316.0	0.29	0.0	71.21	0.01	0	18651465	2619
SRR5517229_GSM2608390_NMR_BM_5982_KID_Heterocephalus_glaber_RNA-Seq	25977832.0	50.0	4381132.0	16.86	49.35	766332.0	749742.0	757384.0	5978.0	833.0	2137.0	7.38	0.02	1.7	0.01	1.41	1041976.0	4.01	41377.0	0.16	0.0	78.96	0.0	0	20513347	0
SRR5517230_GSM2608392_NMR_NM_6074_ADR_Heterocephalus_glaber_RNA-Seq	23080361.0	50.0	4170830.0	18.07	49.37	702254.0	686924.0	692994.0	6044.0	880.0	2336.0	7.21	0.02	1.66	0.02	1.48	1247952.0	5.41	50186.0	0.22	0.0	76.3	0.01	0	17609085	2308
SRR5517231_GSM2608394_NMR_NM_6074_KID_Heterocephalus_glaber_RNA-Seq	29278578.0	50.0	4632757.0	15.82	49.3	776822.0	759194.0	767702.0	5868.0	875.0	2377.0	7.43	0.02	1.71	0.02	1.42	1230293.0	4.2	48044.0	0.16	0.0	79.81	0.0	0	23367484	0
SRR5517232_GSM2608396_NMR_NM_6206_ADR_Heterocephalus_glaber_RNA-Seq	32053393.0	50.0	5293370.0	16.51	49.32	876541.0	853408.0	864529.0	7653.0	1120.0	3239.0	7.19	0.02	1.66	0.02	1.48	1417515.0	4.42	54932.0	0.17	0.0	78.89	0.01	0	25284371	3205
SRR5517233_GSM2608398_NMR_NM_6206_KID_Heterocephalus_glaber_RNA-Seq	26590869.0	50.0	4301991.0	16.18	49.36	742943.0	726283.0	734379.0	5656.0	791.0	2117.0	7.43	0.02	1.72	0.01	1.42	1033557.0	3.89	39365.0	0.15	0.0	79.78	0.0	0	21215956	0
SRR5517234_GSM2608400_NMR_BF_6382_ADR_Heterocephalus_glaber_RNA-Seq	29715193.0	50.0	5478937.0	18.44	49.37	919384.0	899016.0	907052.0	8172.0	1129.0	3031.0	7.22	0.02	1.66	0.01	1.47	1720312.0	5.79	69782.0	0.23	0.0	75.53	0.01	0	22443191	2971
SRR5517235_GSM2608402_NMR_BF_6382_KID_Heterocephalus_glaber_RNA-Seq	21182075.0	50.0	3482117.0	16.44	49.33	601475.0	588026.0	594464.0	4581.0	654.0	1776.0	7.42	0.02	1.7	0.02	1.42	884164.0	4.17	35053.0	0.17	0.0	79.22	0.0	0	16780741	0
SRR5517236_GSM2608404_NMR_BM_6656_ADR_Heterocephalus_glaber_RNA-Seq	30247391.0	50.0	4813478.0	15.91	49.28	768698.0	747607.0	758103.0	6569.0	1047.0	2979.0	7.2	0.02	1.65	0.02	1.47	1312855.0	4.34	55182.0	0.18	0.0	79.56	0.01	0	24062852	3024
SRR5517237_GSM2608405_NMR_BM_6656_KID_Heterocephalus_glaber_RNA-Seq	30402869.0	50.0	4667479.0	15.35	49.29	782512.0	764203.0	773091.0	6111.0	829.0	2481.0	7.41	0.02	1.71	0.02	1.41	1158959.0	3.81	45495.0	0.15	0.0	80.68	0.01	0	24527896	3040
SRR5517238_GSM2608407_NMR_BF_6841_ADR_Heterocephalus_glaber_RNA-Seq	34608948.0	50.0	6453205.0	18.65	49.37	1099348.0	1075818.0	1084847.0	9599.0	1440.0	3462.0	7.22	0.02	1.64	0.01	1.49	1911697.0	5.52	77984.0	0.23	0.0	75.6	0.01	0	26162601	3461
SRR5517239_GSM2608409_NMR_BF_6841_KID_Heterocephalus_glaber_RNA-Seq	28549165.0	50.0	4744331.0	16.62	49.33	792088.0	774192.0	782928.0	6019.0	836.0	2305.0	7.32	0.02	1.72	0.02	1.41	1279462.0	4.48	52125.0	0.18	0.0	78.71	0.01	0	22470392	2855
SRR5517240_GSM2608410_NMR_NF_0525_OVR_Heterocephalus_glaber_RNA-Seq	29829025.0	50.0	5874840.0	19.7	49.37	984689.0	962539.0	971345.0	9228.0	1340.0	2776.0	7.25	0.02	1.69	0.01	1.45	2054440.0	6.89	93265.0	0.31	0.0	73.1	0.0	0	21806480	0
SRR5517241_GSM2608412_NMR_NF_0525_THY_Heterocephalus_glaber_RNA-Seq	26958810.0	50.0	4179214.0	15.5	49.28	749325.0	731002.0	741735.0	4998.0	681.0	1911.0	7.47	0.02	1.69	0.02	1.41	1010059.0	3.75	42763.0	0.16	0.0	80.59	0.0	0	21726774	0
SRR5517242_GSM2608414_NMR_NM_0713_TES_Heterocephalus_glaber_RNA-Seq	20418528.0	50.0	3556521.0	17.42	49.31	605693.0	590484.0	597999.0	5186.0	655.0	1853.0	7.14	0.02	1.69	0.02	1.45	843265.0	4.13	37623.0	0.18	0.0	78.26	0.0	0	15981119	0
SRR5517243_GSM2608416_NMR_NM_0713_THY_Heterocephalus_glaber_RNA-Seq	27634545.0	50.0	4669048.0	16.9	49.29	807072.0	787339.0	798023.0	5949.0	783.0	2317.0	7.35	0.02	1.69	0.02	1.42	1231046.0	4.45	55801.0	0.2	0.0	78.44	0.0	0	21678650	0
SRR5517244_GSM2608418_NMR_BF_1090_OVR_Heterocephalus_glaber_RNA-Seq	21202094.0	50.0	3874276.0	18.27	49.32	616453.0	601141.0	608096.0	5541.0	873.0	1943.0	7.24	0.02	1.66	0.02	1.44	1342925.0	6.33	62853.0	0.3	0.0	75.09	0.0	0	15922040	0
SRR5517245_GSM2608420_NMR_BF_1090_THY_Heterocephalus_glaber_RNA-Seq	28119587.0	50.0	4819424.0	17.14	49.33	923151.0	902830.0	914179.0	6137.0	744.0	2091.0	7.57	0.02	1.66	0.01	1.42	1157987.0	4.12	50109.0	0.18	0.0	78.56	0.0	0	22092067	0
SRR5517246_GSM2608422_NMR_BM_1147_TES_Heterocephalus_glaber_RNA-Seq	28560691.0	50.0	5424838.0	18.99	49.4	957009.0	935999.0	944540.0	8697.0	1136.0	2636.0	7.19	0.02	1.69	0.01	1.45	1370986.0	4.8	55307.0	0.19	0.0	76.01	0.0	0	21709560	0
SRR5517247_GSM2608423_NMR_BM_1147_THY_Heterocephalus_glaber_RNA-Seq	25897163.0	50.0	4391231.0	16.96	49.34	726085.0	711229.0	719244.0	4608.0	652.0	1581.0	7.07	0.02	1.74	0.01	1.36	1229092.0	4.75	45771.0	0.18	0.0	78.12	0.0	0	20231069	0
SRR5517248_GSM2608425_NMR_BM_1215_TES_Heterocephalus_glaber_RNA-Seq	26377144.0	50.0	4840000.0	18.35	49.34	825969.0	807437.0	815431.0	7353.0	930.0	2255.0	7.27	0.02	1.67	0.01	1.47	1429443.0	5.42	59676.0	0.23	0.0	76.0	0.0	0	20048025	0
SRR5517249_GSM2608427_NMR_BM_1215_THY_Heterocephalus_glaber_RNA-Seq	23628203.0	50.0	3334571.0	14.11	49.17	489710.0	474491.0	483975.0	3426.0	500.0	1809.0	7.12	0.03	1.72	0.02	1.43	864757.0	3.66	38731.0	0.16	0.0	82.06	0.0	0	19390144	0
SRR5517250_GSM2608429_NMR_BM_1400_TES_Heterocephalus_glaber_RNA-Seq	26996332.0	50.0	5013400.0	18.57	49.35	876486.0	856951.0	865420.0	7617.0	988.0	2461.0	7.23	0.02	1.69	0.01	1.45	1310742.0	4.86	54101.0	0.2	0.0	76.37	0.0	0	20618089	0
SRR5517251_GSM2608431_NMR_BM_1400_THY_Heterocephalus_glaber_RNA-Seq	25346088.0	50.0	3523845.0	13.9	49.18	528513.0	513261.0	522781.0	3377.0	567.0	1788.0	7.29	0.03	1.71	0.02	1.39	1053371.0	4.16	48448.0	0.19	0.0	81.75	0.0	0	20720424	0
SRR5517252_GSM2608433_NMR_NM_1449_TES_Heterocephalus_glaber_RNA-Seq	31529237.0	50.0	6355835.0	20.16	49.4	1167833.0	1144025.0	1152996.0	10741.0	1337.0	2759.0	7.18	0.01	1.7	0.01	1.47	1532895.0	4.86	63650.0	0.2	0.0	74.77	0.0	0	23576857	0
SRR5517253_GSM2608435_NMR_NM_1449_THY_Heterocephalus_glaber_RNA-Seq	23778230.0	50.0	3351642.0	14.1	49.19	518882.0	504379.0	513445.0	3300.0	527.0	1610.0	7.49	0.03	1.7	0.02	1.39	930777.0	3.91	45038.0	0.19	0.0	81.8	0.0	0	19450773	0
SRR5517254_GSM2608437_NMR_BF_1816_HRT_Heterocephalus_glaber_RNA-Seq	24639149.0	50.0	3854689.0	15.64	49.31	662564.0	651532.0	654298.0	6255.0	731.0	1280.0	7.42	0.01	1.69	0.01	1.46	973255.0	3.95	29214.0	0.12	0.0	80.28	0.0	0	19781991	0
SRR5517255_GSM2608439_NMR_BF_1816_OVR_Heterocephalus_glaber_RNA-Seq	31342657.0	50.0	6155501.0	19.64	49.37	984537.0	961455.0	971870.0	8225.0	1205.0	3237.0	7.15	0.02	1.66	0.02	1.46	2042253.0	6.52	87596.0	0.28	0.0	73.56	0.0	0	23057307	0
SRR5517256_GSM2608440_NMR_NF_2411_OVR_Heterocephalus_glaber_RNA-Seq	23755664.0	50.0	4543919.0	19.13	49.35	754540.0	737150.0	743989.0	7295.0	949.0	2307.0	7.26	0.02	1.69	0.01	1.46	1564156.0	6.58	71473.0	0.3	0.0	73.98	0.0	0	17576116	0
SRR5517257_GSM2608442_NMR_NF_2411_THY_Heterocephalus_glaber_RNA-Seq	23217053.0	50.0	3971851.0	17.11	49.3	712622.0	695381.0	704615.0	5425.0	682.0	1900.0	7.43	0.02	1.68	0.02	1.43	1003455.0	4.32	44841.0	0.19	0.0	78.37	0.0	0	18196906	0
SRR5517258_GSM2608444_NMR_NF_2969_OVR_Heterocephalus_glaber_RNA-Seq	23778813.0	50.0	3947919.0	16.6	49.29	614964.0	598022.0	606012.0	5995.0	836.0	2121.0	7.23	0.02	1.66	0.02	1.46	1297652.0	5.46	62214.0	0.26	0.0	77.68	0.0	0	18471028	0
SRR5517259_GSM2608446_NMR_NF_2969_THY_Heterocephalus_glaber_RNA-Seq	26233379.0	50.0	4148069.0	15.81	49.23	701720.0	683589.0	694278.0	4871.0	681.0	1890.0	7.45	0.02	1.7	0.02	1.41	1096033.0	4.18	50368.0	0.19	0.0	79.81	0.0	0	20938909	0
SRR5517260_GSM2608449_NMR_BM_3274_TES_Heterocephalus_glaber_RNA-Seq	24191002.0	50.0	3995901.0	16.52	49.31	652897.0	636208.0	643712.0	6236.0	787.0	2162.0	7.25	0.02	1.66	0.02	1.47	1131618.0	4.68	47788.0	0.2	0.0	78.6	0.0	0	19015695	0
SRR5517261_GSM2608452_NMR_BM_3274_THY_Heterocephalus_glaber_RNA-Seq	31402087.0	50.0	5051840.0	16.09	49.26	904404.0	882309.0	894986.0	6101.0	842.0	2475.0	7.47	0.02	1.68	0.02	1.42	1201588.0	3.83	52576.0	0.17	0.0	79.92	0.0	0	25096083	0
SRR5517262_GSM2608454_NMR_NM_3295_TES_Heterocephalus_glaber_RNA-Seq	23898023.0	50.0	4575809.0	19.15	49.36	805587.0	788186.0	795141.0	7298.0	908.0	2240.0	7.22	0.02	1.68	0.01	1.46	1248898.0	5.23	53775.0	0.23	0.0	75.4	0.0	0	18019541	0
SRR5517263_GSM2608456_NMR_NF_3439_OVR_Heterocephalus_glaber_RNA-Seq	26367210.0	50.0	5185000.0	19.66	49.36	880511.0	860960.0	868685.0	8190.0	1152.0	2484.0	7.21	0.02	1.7	0.01	1.46	1670097.0	6.33	74467.0	0.28	0.0	73.72	0.0	0	19437646	0
SRR5517264_GSM2608457_NMR_NF_3439_THY_Heterocephalus_glaber_RNA-Seq	25700146.0	50.0	3779030.0	14.7	49.23	636906.0	620059.0	630227.0	4157.0	637.0	1885.0	7.48	0.03	1.72	0.02	1.4	953539.0	3.71	43471.0	0.17	0.0	81.41	0.0	0	20924106	0
SRR5517265_GSM2608459_NMR_NF_3605_OVR_Heterocephalus_glaber_RNA-Seq	22212750.0	50.0	4269388.0	19.22	49.36	712360.0	696581.0	702438.0	6939.0	952.0	2031.0	7.29	0.02	1.67	0.01	1.47	1448919.0	6.52	62937.0	0.28	0.0	73.97	0.0	0	16431506	0
SRR5517266_GSM2608461_NMR_NF_4060_OVR_Heterocephalus_glaber_RNA-Seq	27422981.0	50.0	5248216.0	19.14	49.36	851059.0	830786.0	839537.0	7961.0	1056.0	2505.0	7.3	0.02	1.69	0.01	1.43	1863786.0	6.8	84896.0	0.31	0.0	73.75	0.0	0	20226083	0
SRR5517267_GSM2608463_NMR_NF_4060_THY_Heterocephalus_glaber_RNA-Seq	28156922.0	50.0	4611480.0	16.38	49.29	854592.0	834901.0	845844.0	5875.0	742.0	2131.0	7.49	0.02	1.7	0.02	1.42	1025715.0	3.64	43110.0	0.15	0.0	79.82	0.0	0	22476617	0
SRR5517268_GSM2608465_NMR_BF_4121_OVR_Heterocephalus_glaber_RNA-Seq	27413747.0	50.0	5260987.0	19.19	49.33	842423.0	822341.0	831114.0	7505.0	1144.0	2660.0	7.19	0.02	1.7	0.02	1.43	1915290.0	6.99	87687.0	0.32	0.0	73.5	0.0	0	20149783	0
SRR5517269_GSM2608467_NMR_BF_4121_THY_Heterocephalus_glaber_RNA-Seq	27231857.0	50.0	4641896.0	17.05	49.32	863629.0	844369.0	854763.0	5894.0	795.0	2177.0	7.49	0.02	1.68	0.02	1.42	1143371.0	4.2	51485.0	0.19	0.0	78.56	0.0	0	21395105	0
SRR5517270_GSM2608469_NMR_BF_4772_OVR_Heterocephalus_glaber_RNA-Seq	23276045.0	50.0	4261691.0	18.31	49.3	671710.0	654855.0	662961.0	5799.0	865.0	2085.0	7.22	0.02	1.68	0.02	1.44	1489715.0	6.4	68484.0	0.29	0.0	74.99	0.0	0	17456155	0
SRR5517271_GSM2608471_NMR_BF_4772_THY_Heterocephalus_glaber_RNA-Seq	22946038.0	50.0	3817007.0	16.63	49.31	685322.0	668799.0	678329.0	4565.0	676.0	1752.0	7.48	0.02	1.67	0.02	1.42	994192.0	4.33	44500.0	0.19	0.0	78.84	0.0	0	18090339	0
SRR5517272_GSM2608473_NMR_NM_4925_TES_Heterocephalus_glaber_RNA-Seq	31479002.0	50.0	6049922.0	19.22	49.38	1091929.0	1068757.0	1078245.0	9720.0	1238.0	2726.0	7.18	0.02	1.7	0.01	1.47	1477141.0	4.69	58825.0	0.19	0.0	75.9	0.0	0	23893114	0
SRR5517273_GSM2608475_NMR_NM_4925_THY_Heterocephalus_glaber_RNA-Seq	26024242.0	50.0	3942005.0	15.15	49.24	668399.0	650647.0	661333.0	4420.0	674.0	1972.0	7.5	0.02	1.69	0.02	1.39	1036231.0	3.98	47855.0	0.18	0.0	80.68	0.0	0	20998151	0
SRR5517274_GSM2608477_NMR_BM_5982_TES_Heterocephalus_glaber_RNA-Seq	34584936.0	50.0	6674259.0	19.3	49.38	1189592.0	1164473.0	1174644.0	10511.0	1441.0	2996.0	7.26	0.02	1.68	0.01	1.47	1745712.0	5.05	74007.0	0.21	0.0	75.44	0.0	0	26090958	0
SRR5517275_GSM2608479_NMR_BM_5982_THY_Heterocephalus_glaber_RNA-Seq	20668962.0	50.0	3431706.0	16.6	49.31	637482.0	622812.0	630952.0	4305.0	598.0	1627.0	7.48	0.02	1.68	0.02	1.41	803069.0	3.89	34474.0	0.17	0.0	79.34	0.0	0	16399713	0
